"workerid","qnumber","qtype","condition","item","response","lower","upper"
"11",0,"bins","prior","coffee maker",0.05,236,"240"
"11",0,"bins","prior","coffee maker",0.04,240,"244"
"11",0,"bins","prior","coffee maker",0.04,244,"248"
"11",0,"bins","prior","coffee maker",0.04,248,"252"
"11",0,"bins","prior","coffee maker",0.04,252,"256"
"11",0,"bins","prior","coffee maker",0.03,256,"260"
"11",0,"bins","prior","coffee maker",0.04,260,"264"
"11",0,"bins","prior","coffee maker",0.04,264,"268"
"11",0,"bins","prior","coffee maker",0.04,268,"infty"
"12",0,"bins","prior","coffee maker",0.02,0,"4"
"12",0,"bins","prior","coffee maker",0.04,4,"8"
"12",0,"bins","prior","coffee maker",0.25,8,"12"
"12",0,"bins","prior","coffee maker",0.42,12,"16"
"12",0,"bins","prior","coffee maker",0.5,16,"20"
"12",0,"bins","prior","coffee maker",0.62,20,"24"
"12",0,"bins","prior","coffee maker",0.69,24,"28"
"12",0,"bins","prior","coffee maker",0.76,28,"32"
"12",0,"bins","prior","coffee maker",0.81,32,"36"
"12",0,"bins","prior","coffee maker",0.81,36,"40"
"12",0,"bins","prior","coffee maker",0.78,40,"44"
"12",0,"bins","prior","coffee maker",0.81,44,"48"
"12",0,"bins","prior","coffee maker",0.79,48,"52"
"12",0,"bins","prior","coffee maker",0.79,52,"56"
"12",0,"bins","prior","coffee maker",0.82,56,"60"
"12",0,"bins","prior","coffee maker",0.8,60,"64"
"12",0,"bins","prior","coffee maker",0.77,64,"68"
"12",0,"bins","prior","coffee maker",0.75,68,"72"
"12",0,"bins","prior","coffee maker",0.7,72,"76"
"12",0,"bins","prior","coffee maker",0.61,76,"80"
"12",0,"bins","prior","coffee maker",0.62,80,"84"
"12",0,"bins","prior","coffee maker",0.64,84,"88"
"12",0,"bins","prior","coffee maker",0.62,88,"92"
"12",0,"bins","prior","coffee maker",0.63,92,"96"
"12",0,"bins","prior","coffee maker",0.61,96,"100"
"12",0,"bins","prior","coffee maker",0.66,100,"104"
"12",0,"bins","prior","coffee maker",0.66,104,"108"
"12",0,"bins","prior","coffee maker",0.59,108,"112"
"12",0,"bins","prior","coffee maker",0.56,112,"116"
"12",0,"bins","prior","coffee maker",0.5,116,"120"
"12",0,"bins","prior","coffee maker",0.5,120,"124"
"12",0,"bins","prior","coffee maker",0.5,124,"128"
"12",0,"bins","prior","coffee maker",0.5,128,"132"
"12",0,"bins","prior","coffee maker",0.45,132,"136"
"12",0,"bins","prior","coffee maker",0.45,136,"140"
"12",0,"bins","prior","coffee maker",0.44,140,"144"
"12",0,"bins","prior","coffee maker",0.41,144,"148"
"12",0,"bins","prior","coffee maker",0.4,148,"152"
"12",0,"bins","prior","coffee maker",0.36,152,"156"
"12",0,"bins","prior","coffee maker",0.25,156,"160"
"12",0,"bins","prior","coffee maker",0.34,160,"164"
"12",0,"bins","prior","coffee maker",0.33,164,"168"
"12",0,"bins","prior","coffee maker",0.3,168,"172"
"12",0,"bins","prior","coffee maker",0.29,172,"176"
"12",0,"bins","prior","coffee maker",0.26,176,"180"
"12",0,"bins","prior","coffee maker",0.28,180,"184"
"12",0,"bins","prior","coffee maker",0.3,184,"188"
"12",0,"bins","prior","coffee maker",0.3,188,"192"
"12",0,"bins","prior","coffee maker",0.23,192,"196"
"12",0,"bins","prior","coffee maker",0.21,196,"200"
"12",0,"bins","prior","coffee maker",0.25,200,"204"
"12",0,"bins","prior","coffee maker",0.16,204,"208"
"12",0,"bins","prior","coffee maker",0.22,208,"212"
"12",0,"bins","prior","coffee maker",0.17,212,"216"
"12",0,"bins","prior","coffee maker",0.2,216,"220"
"12",0,"bins","prior","coffee maker",0.16,220,"224"
"12",0,"bins","prior","coffee maker",0.16,224,"228"
"12",0,"bins","prior","coffee maker",0.17,228,"232"
"12",0,"bins","prior","coffee maker",0.18,232,"236"
"12",0,"bins","prior","coffee maker",0.21,236,"240"
"12",0,"bins","prior","coffee maker",0.09,240,"244"
"12",0,"bins","prior","coffee maker",0.08,244,"248"
"12",0,"bins","prior","coffee maker",0.09,248,"252"
"12",0,"bins","prior","coffee maker",0.06,252,"256"
"12",0,"bins","prior","coffee maker",0.08,256,"260"
"12",0,"bins","prior","coffee maker",0.09,260,"264"
"12",0,"bins","prior","coffee maker",0.08,264,"268"
"12",0,"bins","prior","coffee maker",0.08,268,"infty"
"13",0,"bins","prior","watch",0.77,0,"50"
"13",0,"bins","prior","watch",1,50,"100"
"13",0,"bins","prior","watch",0.99,100,"150"
"13",0,"bins","prior","watch",0.73,150,"200"
"13",0,"bins","prior","watch",0.73,200,"250"
"13",0,"bins","prior","watch",0.3,250,"300"
"13",0,"bins","prior","watch",0.28,300,"350"
"13",0,"bins","prior","watch",0,350,"400"
"13",0,"bins","prior","watch",0,400,"450"
"13",0,"bins","prior","watch",0,450,"500"
"13",0,"bins","prior","watch",0.17,500,"550"
"13",0,"bins","prior","watch",0.21,550,"600"
"13",0,"bins","prior","watch",0.21,600,"650"
"13",0,"bins","prior","watch",0.2,650,"700"
"13",0,"bins","prior","watch",0.23,700,"750"
"13",0,"bins","prior","watch",0.26,750,"800"
"13",0,"bins","prior","watch",0.27,800,"850"
"13",0,"bins","prior","watch",0.27,850,"900"
"13",0,"bins","prior","watch",0.28,900,"950"
"13",0,"bins","prior","watch",0.29,950,"1000"
"13",0,"bins","prior","watch",0,1000,"1050"
"13",0,"bins","prior","watch",0,1050,"1100"
"13",0,"bins","prior","watch",0,1100,"1150"
"13",0,"bins","prior","watch",0,1150,"1200"
"13",0,"bins","prior","watch",0,1200,"1250"
"13",0,"bins","prior","watch",0,1250,"1300"
"13",0,"bins","prior","watch",0,1300,"1350"
"13",0,"bins","prior","watch",0,1350,"1400"
"13",0,"bins","prior","watch",0,1400,"1450"
"13",0,"bins","prior","watch",0,1450,"1500"
"13",0,"bins","prior","watch",0,1500,"1550"
"13",0,"bins","prior","watch",0,1550,"1600"
"13",0,"bins","prior","watch",0,1600,"1650"
"13",0,"bins","prior","watch",0,1650,"1700"
"13",0,"bins","prior","watch",0,1700,"1750"
"13",0,"bins","prior","watch",0,1750,"1800"
"13",0,"bins","prior","watch",0,1800,"1850"
"13",0,"bins","prior","watch",0,1850,"1900"
"13",0,"bins","prior","watch",0,1900,"1950"
"13",0,"bins","prior","watch",0,1950,"2000"
"13",0,"bins","prior","watch",0,2000,"2050"
"13",0,"bins","prior","watch",0,2050,"2100"
"13",0,"bins","prior","watch",0,2100,"2150"
"13",0,"bins","prior","watch",0,2150,"2200"
"13",0,"bins","prior","watch",0,2200,"2250"
"13",0,"bins","prior","watch",0,2250,"2300"
"13",0,"bins","prior","watch",0,2300,"2350"
"13",0,"bins","prior","watch",0,2350,"2400"
"13",0,"bins","prior","watch",0,2400,"2450"
"13",0,"bins","prior","watch",0,2450,"2500"
"13",0,"bins","prior","watch",0,2500,"2550"
"13",0,"bins","prior","watch",0,2550,"2600"
"13",0,"bins","prior","watch",0,2600,"2650"
"13",0,"bins","prior","watch",0,2650,"2700"
"13",0,"bins","prior","watch",0,2700,"2750"
"13",0,"bins","prior","watch",0,2750,"2800"
"13",0,"bins","prior","watch",0,2800,"2850"
"13",0,"bins","prior","watch",0,2850,"2900"
"13",0,"bins","prior","watch",0,2900,"2950"
"13",0,"bins","prior","watch",0,2950,"infty"
"14",0,"bins","prior","watch",0.74,0,"50"
"14",0,"bins","prior","watch",0.72,50,"100"
"14",0,"bins","prior","watch",0.83,100,"150"
"14",0,"bins","prior","watch",0.66,150,"200"
"14",0,"bins","prior","watch",0.71,200,"250"
"14",0,"bins","prior","watch",0.66,250,"300"
"14",0,"bins","prior","watch",0.5,300,"350"
"14",0,"bins","prior","watch",0.5,350,"400"
"14",0,"bins","prior","watch",0.58,400,"450"
"14",0,"bins","prior","watch",0.63,450,"500"
"14",0,"bins","prior","watch",0.58,500,"550"
"14",0,"bins","prior","watch",0.5,550,"600"
"14",0,"bins","prior","watch",0.5,600,"650"
"14",0,"bins","prior","watch",0.61,650,"700"
"14",0,"bins","prior","watch",0.5,700,"750"
"14",0,"bins","prior","watch",0.5,750,"800"
"14",0,"bins","prior","watch",0.5,800,"850"
"14",0,"bins","prior","watch",0.5,850,"900"
"14",0,"bins","prior","watch",0.5,900,"950"
"14",0,"bins","prior","watch",1,950,"1000"
"14",0,"bins","prior","watch",0.06,1000,"1050"
"14",0,"bins","prior","watch",0.03,1050,"1100"
"14",0,"bins","prior","watch",0.03,1100,"1150"
"14",0,"bins","prior","watch",0.03,1150,"1200"
"14",0,"bins","prior","watch",0.04,1200,"1250"
"14",0,"bins","prior","watch",0.07,1250,"1300"
"14",0,"bins","prior","watch",0.02,1300,"1350"
"14",0,"bins","prior","watch",0.05,1350,"1400"
"14",0,"bins","prior","watch",0.04,1400,"1450"
"14",0,"bins","prior","watch",0.01,1450,"1500"
"14",0,"bins","prior","watch",0.1,1500,"1550"
"14",0,"bins","prior","watch",0.08,1550,"1600"
"14",0,"bins","prior","watch",0.14,1600,"1650"
"14",0,"bins","prior","watch",0.08,1650,"1700"
"14",0,"bins","prior","watch",0.18,1700,"1750"
"14",0,"bins","prior","watch",0.05,1750,"1800"
"14",0,"bins","prior","watch",0.08,1800,"1850"
"14",0,"bins","prior","watch",0.08,1850,"1900"
"14",0,"bins","prior","watch",0.06,1900,"1950"
"14",0,"bins","prior","watch",0.04,1950,"2000"
"14",0,"bins","prior","watch",0.14,2000,"2050"
"14",0,"bins","prior","watch",0.06,2050,"2100"
"14",0,"bins","prior","watch",0.08,2100,"2150"
"14",0,"bins","prior","watch",0.05,2150,"2200"
"14",0,"bins","prior","watch",0.06,2200,"2250"
"14",0,"bins","prior","watch",0.06,2250,"2300"
"14",0,"bins","prior","watch",0.06,2300,"2350"
"14",0,"bins","prior","watch",0.06,2350,"2400"
"14",0,"bins","prior","watch",0.08,2400,"2450"
"14",0,"bins","prior","watch",0.06,2450,"2500"
"14",0,"bins","prior","watch",0.08,2500,"2550"
"14",0,"bins","prior","watch",0.12,2550,"2600"
"14",0,"bins","prior","watch",0.03,2600,"2650"
"14",0,"bins","prior","watch",0.03,2650,"2700"
"14",0,"bins","prior","watch",0.08,2700,"2750"
"14",0,"bins","prior","watch",0.06,2750,"2800"
"14",0,"bins","prior","watch",0.04,2800,"2850"
"14",0,"bins","prior","watch",0.06,2850,"2900"
"14",0,"bins","prior","watch",0.08,2900,"2950"
"14",0,"bins","prior","watch",0.06,2950,"infty"
"15",0,"bins","prior","laptop",0.02,0,"50"
"15",0,"bins","prior","laptop",0.01,50,"100"
"15",0,"bins","prior","laptop",0.01,100,"150"
"15",0,"bins","prior","laptop",0.01,150,"200"
"15",0,"bins","prior","laptop",0.01,200,"250"
"15",0,"bins","prior","laptop",0.1,250,"300"
"15",0,"bins","prior","laptop",0.2,300,"350"
"15",0,"bins","prior","laptop",0.27,350,"400"
"15",0,"bins","prior","laptop",0.39,400,"450"
"15",0,"bins","prior","laptop",0.49,450,"500"
"15",0,"bins","prior","laptop",0.7,500,"550"
"15",0,"bins","prior","laptop",0.76,550,"600"
"15",0,"bins","prior","laptop",0.8,600,"650"
"15",0,"bins","prior","laptop",0.83,650,"700"
"15",0,"bins","prior","laptop",0.84,700,"750"
"15",0,"bins","prior","laptop",0.76,750,"800"
"15",0,"bins","prior","laptop",0.66,800,"850"
"15",0,"bins","prior","laptop",0.58,850,"900"
"15",0,"bins","prior","laptop",0.5,900,"950"
"15",0,"bins","prior","laptop",0.36,950,"1000"
"15",0,"bins","prior","laptop",0.21,1000,"1050"
"15",0,"bins","prior","laptop",0.17,1050,"1100"
"15",0,"bins","prior","laptop",0.17,1100,"1150"
"15",0,"bins","prior","laptop",0.27,1150,"1200"
"15",0,"bins","prior","laptop",0.39,1200,"1250"
"15",0,"bins","prior","laptop",0.29,1250,"1300"
"15",0,"bins","prior","laptop",0.15,1300,"1350"
"15",0,"bins","prior","laptop",0.15,1350,"1400"
"15",0,"bins","prior","laptop",0.14,1400,"1450"
"15",0,"bins","prior","laptop",0.11,1450,"1500"
"15",0,"bins","prior","laptop",0.07,1500,"1550"
"15",0,"bins","prior","laptop",0.08,1550,"1600"
"15",0,"bins","prior","laptop",0.16,1600,"1650"
"15",0,"bins","prior","laptop",0.12,1650,"1700"
"15",0,"bins","prior","laptop",0.06,1700,"1750"
"15",0,"bins","prior","laptop",0.06,1750,"1800"
"15",0,"bins","prior","laptop",0.06,1800,"1850"
"15",0,"bins","prior","laptop",0.04,1850,"1900"
"15",0,"bins","prior","laptop",0.06,1900,"1950"
"15",0,"bins","prior","laptop",0.06,1950,"2000"
"15",0,"bins","prior","laptop",0.04,2000,"2050"
"15",0,"bins","prior","laptop",0.03,2050,"2100"
"15",0,"bins","prior","laptop",0.02,2100,"2150"
"15",0,"bins","prior","laptop",0.03,2150,"2200"
"15",0,"bins","prior","laptop",0.04,2200,"2250"
"15",0,"bins","prior","laptop",0.03,2250,"2300"
"15",0,"bins","prior","laptop",0.04,2300,"2350"
"15",0,"bins","prior","laptop",0.04,2350,"2400"
"15",0,"bins","prior","laptop",0.04,2400,"2450"
"15",0,"bins","prior","laptop",0.03,2450,"infty"
"16",0,"bins","prior","sweater",0,0,"3"
"16",0,"bins","prior","sweater",0.17,3,"6"
"16",0,"bins","prior","sweater",0.19,6,"9"
"16",0,"bins","prior","sweater",0.27,9,"12"
"16",0,"bins","prior","sweater",0.31,12,"15"
"16",0,"bins","prior","sweater",0.42,15,"18"
"16",0,"bins","prior","sweater",0.59,18,"21"
"16",0,"bins","prior","sweater",0.61,21,"24"
"16",0,"bins","prior","sweater",0.75,24,"27"
"16",0,"bins","prior","sweater",0.93,27,"30"
"16",0,"bins","prior","sweater",0.99,30,"33"
"16",0,"bins","prior","sweater",0.94,33,"36"
"16",0,"bins","prior","sweater",0.97,36,"39"
"16",0,"bins","prior","sweater",0.75,39,"42"
"16",0,"bins","prior","sweater",0.79,42,"45"
"16",0,"bins","prior","sweater",0.82,45,"48"
"16",0,"bins","prior","sweater",0.8,48,"51"
"16",0,"bins","prior","sweater",0.79,51,"54"
"16",0,"bins","prior","sweater",0.69,54,"57"
"16",0,"bins","prior","sweater",0.6,57,"60"
"16",0,"bins","prior","sweater",0.75,60,"63"
"16",0,"bins","prior","sweater",0.7,63,"66"
"16",0,"bins","prior","sweater",0.7,66,"69"
"16",0,"bins","prior","sweater",0.7,69,"72"
"16",0,"bins","prior","sweater",0.71,72,"75"
"16",0,"bins","prior","sweater",0.65,75,"78"
"16",0,"bins","prior","sweater",0.6,78,"81"
"16",0,"bins","prior","sweater",0.58,81,"84"
"16",0,"bins","prior","sweater",0.5,84,"87"
"16",0,"bins","prior","sweater",0.37,87,"90"
"16",0,"bins","prior","sweater",0.35,90,"93"
"16",0,"bins","prior","sweater",0.28,93,"96"
"16",0,"bins","prior","sweater",0.21,96,"99"
"16",0,"bins","prior","sweater",0.18,99,"102"
"16",0,"bins","prior","sweater",0.18,102,"105"
"16",0,"bins","prior","sweater",0.18,105,"108"
"16",0,"bins","prior","sweater",0.18,108,"111"
"16",0,"bins","prior","sweater",0.02,111,"114"
"16",0,"bins","prior","sweater",0.03,114,"117"
"16",0,"bins","prior","sweater",0.02,117,"120"
"16",0,"bins","prior","sweater",0.02,120,"123"
"16",0,"bins","prior","sweater",0.01,123,"126"
"16",0,"bins","prior","sweater",0.03,126,"129"
"16",0,"bins","prior","sweater",0.02,129,"132"
"16",0,"bins","prior","sweater",0.01,132,"135"
"16",0,"bins","prior","sweater",0.01,135,"138"
"16",0,"bins","prior","sweater",0.01,138,"141"
"16",0,"bins","prior","sweater",0.02,141,"144"
"16",0,"bins","prior","sweater",0.02,144,"147"
"16",0,"bins","prior","sweater",0.01,147,"150"
"16",0,"bins","prior","sweater",0.02,150,"153"
"16",0,"bins","prior","sweater",0.02,153,"156"
"16",0,"bins","prior","sweater",0.02,156,"159"
"16",0,"bins","prior","sweater",0.03,159,"162"
"16",0,"bins","prior","sweater",0.01,162,"165"
"16",0,"bins","prior","sweater",0.01,165,"168"
"16",0,"bins","prior","sweater",0.02,168,"171"
"16",0,"bins","prior","sweater",0.02,171,"174"
"16",0,"bins","prior","sweater",0.02,174,"177"
"16",0,"bins","prior","sweater",0.01,177,"180"
"16",0,"bins","prior","sweater",0.01,180,"183"
"16",0,"bins","prior","sweater",0.03,183,"186"
"16",0,"bins","prior","sweater",0.02,186,"189"
"16",0,"bins","prior","sweater",0,189,"192"
"16",0,"bins","prior","sweater",0.03,192,"195"
"16",0,"bins","prior","sweater",0,195,"198"
"16",0,"bins","prior","sweater",0.01,198,"201"
"16",0,"bins","prior","sweater",0.01,201,"204"
"16",0,"bins","prior","sweater",0,204,"207"
"16",0,"bins","prior","sweater",0.01,207,"210"
"16",0,"bins","prior","sweater",0.03,210,"213"
"16",0,"bins","prior","sweater",0.01,213,"216"
"16",0,"bins","prior","sweater",0.01,216,"219"
"16",0,"bins","prior","sweater",0.04,219,"222"
"16",0,"bins","prior","sweater",0.01,222,"225"
"16",0,"bins","prior","sweater",0.01,225,"228"
"16",0,"bins","prior","sweater",0.01,228,"231"
"16",0,"bins","prior","sweater",0.01,231,"234"
"16",0,"bins","prior","sweater",0.02,234,"237"
"16",0,"bins","prior","sweater",0.01,237,"infty"
"17",0,"bins","prior","laptop",0,0,"50"
"17",0,"bins","prior","laptop",0.19,50,"100"
"17",0,"bins","prior","laptop",0.52,100,"150"
"17",0,"bins","prior","laptop",0.66,150,"200"
"17",0,"bins","prior","laptop",0.96,200,"250"
"17",0,"bins","prior","laptop",0.73,250,"300"
"17",0,"bins","prior","laptop",0.49,300,"350"
"17",0,"bins","prior","laptop",0.29,350,"400"
"17",0,"bins","prior","laptop",0.19,400,"450"
"17",0,"bins","prior","laptop",0.12,450,"500"
"17",0,"bins","prior","laptop",0.17,500,"550"
"17",0,"bins","prior","laptop",0.15,550,"600"
"17",0,"bins","prior","laptop",0.13,600,"650"
"17",0,"bins","prior","laptop",0.08,650,"700"
"17",0,"bins","prior","laptop",0.07,700,"750"
"17",0,"bins","prior","laptop",0,750,"800"
"17",0,"bins","prior","laptop",0,800,"850"
"17",0,"bins","prior","laptop",0,850,"900"
"17",0,"bins","prior","laptop",0,900,"950"
"17",0,"bins","prior","laptop",0,950,"1000"
"17",0,"bins","prior","laptop",0,1000,"1050"
"17",0,"bins","prior","laptop",0,1050,"1100"
"17",0,"bins","prior","laptop",0,1100,"1150"
"17",0,"bins","prior","laptop",0,1150,"1200"
"17",0,"bins","prior","laptop",0,1200,"1250"
"17",0,"bins","prior","laptop",0,1250,"1300"
"17",0,"bins","prior","laptop",0,1300,"1350"
"17",0,"bins","prior","laptop",0,1350,"1400"
"17",0,"bins","prior","laptop",0,1400,"1450"
"17",0,"bins","prior","laptop",0,1450,"1500"
"17",0,"bins","prior","laptop",0,1500,"1550"
"17",0,"bins","prior","laptop",0,1550,"1600"
"17",0,"bins","prior","laptop",0,1600,"1650"
"17",0,"bins","prior","laptop",0,1650,"1700"
"17",0,"bins","prior","laptop",0,1700,"1750"
"17",0,"bins","prior","laptop",0,1750,"1800"
"17",0,"bins","prior","laptop",0,1800,"1850"
"17",0,"bins","prior","laptop",0,1850,"1900"
"17",0,"bins","prior","laptop",0,1900,"1950"
"17",0,"bins","prior","laptop",0,1950,"2000"
"17",0,"bins","prior","laptop",0,2000,"2050"
"17",0,"bins","prior","laptop",0,2050,"2100"
"17",0,"bins","prior","laptop",0,2100,"2150"
"17",0,"bins","prior","laptop",0,2150,"2200"
"17",0,"bins","prior","laptop",0,2200,"2250"
"17",0,"bins","prior","laptop",0,2250,"2300"
"17",0,"bins","prior","laptop",0,2300,"2350"
"17",0,"bins","prior","laptop",0,2350,"2400"
"17",0,"bins","prior","laptop",0,2400,"2450"
"17",0,"bins","prior","laptop",0,2450,"infty"
"18",0,"bins","prior","coffee maker",0,0,"4"
"18",0,"bins","prior","coffee maker",0,4,"8"
"18",0,"bins","prior","coffee maker",0,8,"12"
"18",0,"bins","prior","coffee maker",0,12,"16"
"18",0,"bins","prior","coffee maker",0.12,16,"20"
"18",0,"bins","prior","coffee maker",0.32,20,"24"
"18",0,"bins","prior","coffee maker",0.51,24,"28"
"18",0,"bins","prior","coffee maker",0.71,28,"32"
"18",0,"bins","prior","coffee maker",0.77,32,"36"
"18",0,"bins","prior","coffee maker",0.76,36,"40"
"18",0,"bins","prior","coffee maker",0.89,40,"44"
"18",0,"bins","prior","coffee maker",0.84,44,"48"
"18",0,"bins","prior","coffee maker",0.71,48,"52"
"18",0,"bins","prior","coffee maker",0.06,52,"56"
