"workerid","domain","condition","item","lowers","uppers","responses"
"3","price","prior","watch",2350,2400,0
"3","price","prior","watch",2400,2450,0
"3","price","prior","watch",2450,2500,0
"3","price","prior","watch",2500,2550,0
"3","price","prior","watch",2550,2600,0
"3","price","prior","watch",2600,2650,0
"3","price","prior","watch",2650,2700,0
"3","price","prior","watch",2700,2750,0
"3","price","prior","watch",2750,2800,0
"3","price","prior","watch",2800,2850,0
"3","price","prior","watch",2850,2900,0
"3","price","prior","watch",2900,2950,0
"3","price","prior","watch",2950,NA,0
"4","price","prior","laptop",0,50,0
"4","price","prior","laptop",50,100,0
"4","price","prior","laptop",100,150,0
"4","price","prior","laptop",150,200,0
"4","price","prior","laptop",200,250,0
"4","price","prior","laptop",250,300,0.03
"4","price","prior","laptop",300,350,0
"4","price","prior","laptop",350,400,0
"4","price","prior","laptop",400,450,0
"4","price","prior","laptop",450,500,0
"4","price","prior","laptop",500,550,0.15
"4","price","prior","laptop",550,600,0.16
"4","price","prior","laptop",600,650,0.17
"4","price","prior","laptop",650,700,0.16
"4","price","prior","laptop",700,750,0.17
"4","price","prior","laptop",750,800,0.2
"4","price","prior","laptop",800,850,0.3
"4","price","prior","laptop",850,900,0.3
"4","price","prior","laptop",900,950,0.42
"4","price","prior","laptop",950,1000,0.5
"4","price","prior","laptop",1000,1050,0.57
"4","price","prior","laptop",1050,1100,0.59
"4","price","prior","laptop",1100,1150,0.69
"4","price","prior","laptop",1150,1200,0.84
"4","price","prior","laptop",1200,1250,0.88
"4","price","prior","laptop",1250,1300,1
"4","price","prior","laptop",1300,1350,0.77
"4","price","prior","laptop",1350,1400,0.64
"4","price","prior","laptop",1400,1450,0.26
"4","price","prior","laptop",1450,1500,0
"4","price","prior","laptop",1500,1550,0
"4","price","prior","laptop",1550,1600,0
"4","price","prior","laptop",1600,1650,0
"4","price","prior","laptop",1650,1700,0
"4","price","prior","laptop",1700,1750,0
"4","price","prior","laptop",1750,1800,0
"4","price","prior","laptop",1800,1850,0
"4","price","prior","laptop",1850,1900,0
"4","price","prior","laptop",1900,1950,0
"4","price","prior","laptop",1950,2000,0
"4","price","prior","laptop",2000,2050,0
"4","price","prior","laptop",2050,2100,0
"4","price","prior","laptop",2100,2150,0
"4","price","prior","laptop",2150,2200,0
"4","price","prior","laptop",2200,2250,0
"4","price","prior","laptop",2250,2300,0
"4","price","prior","laptop",2300,2350,0
"4","price","prior","laptop",2350,2400,0
"4","price","prior","laptop",2400,2450,0
"4","price","prior","laptop",2450,NA,0
"5","age","posterior","New Yorker",0,5,0
"5","age","posterior","New Yorker",5,10,0
"5","age","posterior","New Yorker",10,15,0
"5","age","posterior","New Yorker",15,20,0
"5","age","posterior","New Yorker",20,25,0
"5","age","posterior","New Yorker",25,30,0
"5","age","posterior","New Yorker",30,35,0
"5","age","posterior","New Yorker",35,40,0
"5","age","posterior","New Yorker",40,45,0
"5","age","posterior","New Yorker",45,50,0.68
"5","age","posterior","New Yorker",50,55,0.72
"5","age","posterior","New Yorker",55,60,0.8
"5","age","posterior","New Yorker",60,65,0.87
"5","age","posterior","New Yorker",65,70,0.82
"5","age","posterior","New Yorker",70,75,0.8
"5","age","posterior","New Yorker",75,80,0.79
"5","age","posterior","New Yorker",80,85,0.83
"5","age","posterior","New Yorker",85,NA,0.87
"6","height","posterior","tree",0,5,0
"6","height","posterior","tree",5,10,0
"6","height","posterior","tree",10,15,0
"6","height","posterior","tree",15,20,0.08
"6","height","posterior","tree",20,25,0.11
"6","height","posterior","tree",25,30,0.14
"6","height","posterior","tree",30,35,0.19
"6","height","posterior","tree",35,40,0.21
"6","height","posterior","tree",40,45,0.25
"6","height","posterior","tree",45,50,0.29
"6","height","posterior","tree",50,55,0.4
"6","height","posterior","tree",55,60,0.27
"6","height","posterior","tree",60,65,0.18
"6","height","posterior","tree",65,70,0.13
"6","height","posterior","tree",70,75,0.07
"6","height","posterior","tree",75,80,0.04
"6","height","posterior","tree",80,85,0
"6","height","posterior","tree",85,90,0
"6","height","posterior","tree",90,95,0
"6","height","posterior","tree",95,NA,0
"7","height","prior","mountain",0,1000,0.02
"7","height","prior","mountain",1000,2000,0.17
"7","height","prior","mountain",2000,3000,0.32
"7","height","prior","mountain",3000,4000,0.44
"7","height","prior","mountain",4000,5000,0.41
"7","height","prior","mountain",5000,6000,0.2
"7","height","prior","mountain",6000,7000,0.1
"7","height","prior","mountain",7000,8000,0.04
"7","height","prior","mountain",8000,9000,0.02
"7","height","prior","mountain",9000,10000,0.01
"7","height","prior","mountain",10000,11000,0.01
"7","height","prior","mountain",11000,12000,0
"7","height","prior","mountain",12000,13000,0.02
"7","height","prior","mountain",13000,14000,0.01
"7","height","prior","mountain",14000,15000,0.01
"7","height","prior","mountain",15000,16000,0
"7","height","prior","mountain",16000,17000,0.02
"7","height","prior","mountain",17000,18000,0.03
"7","height","prior","mountain",18000,19000,0.03
"7","height","prior","mountain",19000,NA,0.01
"8","height","prior","mountain",0,1000,0.2
"8","height","prior","mountain",1000,2000,0.22
"8","height","prior","mountain",2000,3000,0.55
"8","height","prior","mountain",3000,4000,0.65
"8","height","prior","mountain",4000,5000,0.79
"8","height","prior","mountain",5000,6000,0.44
"8","height","prior","mountain",6000,7000,0.8
"8","height","prior","mountain",7000,8000,0.36
"8","height","prior","mountain",8000,9000,0.7
"8","height","prior","mountain",9000,10000,0.39
"8","height","prior","mountain",10000,11000,0.3
"8","height","prior","mountain",11000,12000,0.52
"8","height","prior","mountain",12000,13000,0.69
"8","height","prior","mountain",13000,14000,0.8
"8","height","prior","mountain",14000,15000,0.89
"8","height","prior","mountain",15000,16000,0.93
"8","height","prior","mountain",16000,17000,0.95
"8","height","prior","mountain",17000,18000,0.95
"8","height","prior","mountain",18000,19000,0.94
"8","height","prior","mountain",19000,NA,1
"9","height","posterior","tree",0,5,0
"9","height","posterior","tree",5,10,0
"9","height","posterior","tree",10,15,0
"9","height","posterior","tree",15,20,0.5
"9","height","posterior","tree",20,25,0.59
"9","height","posterior","tree",25,30,0.68
"9","height","posterior","tree",30,35,0.76
"9","height","posterior","tree",35,40,0.83
"9","height","posterior","tree",40,45,0.84
"9","height","posterior","tree",45,50,0.85
"9","height","posterior","tree",50,55,1
"9","height","posterior","tree",55,60,1
"9","height","posterior","tree",60,65,1
"9","height","posterior","tree",65,70,0.98
"9","height","posterior","tree",70,75,1
"9","height","posterior","tree",75,80,1
"9","height","posterior","tree",80,85,1
"9","height","posterior","tree",85,90,1
"9","height","posterior","tree",90,95,0.97
"9","height","posterior","tree",95,NA,0.96
"10","age","prior","college student",0,5,0
"10","age","prior","college student",5,10,0
"10","age","prior","college student",10,15,0.12
"10","age","prior","college student",15,20,0.49
"10","age","prior","college student",20,25,0.86
"10","age","prior","college student",25,30,0.73
"10","age","prior","college student",30,35,0.56
"10","age","prior","college student",35,40,0.43
"10","age","prior","college student",40,45,0.33
"10","age","prior","college student",45,50,0.21
"10","age","prior","college student",50,55,0.13
"10","age","prior","college student",55,60,0.12
"10","age","prior","college student",60,65,0.09
"10","age","prior","college student",65,70,0
"10","age","prior","college student",70,75,0
"10","age","prior","college student",75,80,0
"10","age","prior","college student",80,85,0
"10","age","prior","college student",85,NA,0
"11","price","posterior","laptop",0,50,0
"11","price","posterior","laptop",50,100,0
"11","price","posterior","laptop",100,150,0
"11","price","posterior","laptop",150,200,0
"11","price","posterior","laptop",200,250,0
"11","price","posterior","laptop",250,300,0
"11","price","posterior","laptop",300,350,0
"11","price","posterior","laptop",350,400,0
"11","price","posterior","laptop",400,450,0
"11","price","posterior","laptop",450,500,0
"11","price","posterior","laptop",500,550,0
"11","price","posterior","laptop",550,600,0
"11","price","posterior","laptop",600,650,0
"11","price","posterior","laptop",650,700,0
"11","price","posterior","laptop",700,750,0
"11","price","posterior","laptop",750,800,0.25
"11","price","posterior","laptop",800,850,0.25
"11","price","posterior","laptop",850,900,0.25
"11","price","posterior","laptop",900,950,0.26
"11","price","posterior","laptop",950,1000,0.26
"11","price","posterior","laptop",1000,1050,0.5
"11","price","posterior","laptop",1050,1100,0.5
"11","price","posterior","laptop",1100,1150,0.5
"11","price","posterior","laptop",1150,1200,0.5
"11","price","posterior","laptop",1200,1250,0.5
"11","price","posterior","laptop",1250,1300,0.72
"11","price","posterior","laptop",1300,1350,0.71
"11","price","posterior","laptop",1350,1400,0.71
"11","price","posterior","laptop",1400,1450,0.7
"11","price","posterior","laptop",1450,1500,0.7
"11","price","posterior","laptop",1500,1550,1
"11","price","posterior","laptop",1550,1600,1
"11","price","posterior","laptop",1600,1650,1
"11","price","posterior","laptop",1650,1700,1
"11","price","posterior","laptop",1700,1750,1
"11","price","posterior","laptop",1750,1800,1
"11","price","posterior","laptop",1800,1850,1
"11","price","posterior","laptop",1850,1900,1
"11","price","posterior","laptop",1900,1950,1
"11","price","posterior","laptop",1950,2000,1
"11","price","posterior","laptop",2000,2050,1
"11","price","posterior","laptop",2050,2100,1
"11","price","posterior","laptop",2100,2150,1
"11","price","posterior","laptop",2150,2200,1
"11","price","posterior","laptop",2200,2250,1
"11","price","posterior","laptop",2250,2300,1
"11","price","posterior","laptop",2300,2350,1
"11","price","posterior","laptop",2350,2400,1
"11","price","posterior","laptop",2400,2450,1
"11","price","posterior","laptop",2450,NA,1
"12","height","posterior","tree",0,5,0.23
"12","height","posterior","tree",5,10,0.34
"12","height","posterior","tree",10,15,0.55
"12","height","posterior","tree",15,20,0.65
"12","height","posterior","tree",20,25,0.76
"12","height","posterior","tree",25,30,0.8
"12","height","posterior","tree",30,35,0.93
"12","height","posterior","tree",35,40,0.97
"12","height","posterior","tree",40,45,0.98
"12","height","posterior","tree",45,50,1
"12","height","posterior","tree",50,55,1
"12","height","posterior","tree",55,60,1
"12","height","posterior","tree",60,65,1
"12","height","posterior","tree",65,70,1
"12","height","posterior","tree",70,75,1
"12","height","posterior","tree",75,80,1
"12","height","posterior","tree",80,85,1
"12","height","posterior","tree",85,90,0.99
"12","height","posterior","tree",90,95,1
"12","height","posterior","tree",95,NA,1
"13","price","posterior","coffee maker",0,4,0.05
"13","price","posterior","coffee maker",4,8,0.05
"13","price","posterior","coffee maker",8,12,0.11
"13","price","posterior","coffee maker",12,16,0.16
"13","price","posterior","coffee maker",16,20,0.27
"13","price","posterior","coffee maker",20,24,0.36
"13","price","posterior","coffee maker",24,28,0.45
"13","price","posterior","coffee maker",28,32,0.49
"13","price","posterior","coffee maker",32,36,0.51
"13","price","posterior","coffee maker",36,40,0.51
"13","price","posterior","coffee maker",40,44,0.5
"13","price","posterior","coffee maker",44,48,0.52
"13","price","posterior","coffee maker",48,52,0.56
"13","price","posterior","coffee maker",52,56,0.58
"13","price","posterior","coffee maker",56,60,0.62
"13","price","posterior","coffee maker",60,64,0.63
"13","price","posterior","coffee maker",64,68,0.65
"13","price","posterior","coffee maker",68,72,0.67
"13","price","posterior","coffee maker",72,76,0.68
"13","price","posterior","coffee maker",76,80,0.72
"13","price","posterior","coffee maker",80,84,0.72
"13","price","posterior","coffee maker",84,88,0.73
"13","price","posterior","coffee maker",88,92,0.73
"13","price","posterior","coffee maker",92,96,0.75
"13","price","posterior","coffee maker",96,100,0.76
"13","price","posterior","coffee maker",100,104,0.77
"13","price","posterior","coffee maker",104,108,0.75
"13","price","posterior","coffee maker",108,112,0.72
"13","price","posterior","coffee maker",112,116,0.73
"13","price","posterior","coffee maker",116,120,0.71
"13","price","posterior","coffee maker",120,124,0.71
"13","price","posterior","coffee maker",124,128,0.69
"13","price","posterior","coffee maker",128,132,0.67
"13","price","posterior","coffee maker",132,136,0.64
"13","price","posterior","coffee maker",136,140,0.62
"13","price","posterior","coffee maker",140,144,0.62
"13","price","posterior","coffee maker",144,148,0.62
"13","price","posterior","coffee maker",148,152,0.61
"13","price","posterior","coffee maker",152,156,0.58
"13","price","posterior","coffee maker",156,160,0.55
"13","price","posterior","coffee maker",160,164,0.55
"13","price","posterior","coffee maker",164,168,0.55
"13","price","posterior","coffee maker",168,172,0.5
"13","price","posterior","coffee maker",172,176,0.5
"13","price","posterior","coffee maker",176,180,0.49
"13","price","posterior","coffee maker",180,184,0.47
"13","price","posterior","coffee maker",184,188,0.45
"13","price","posterior","coffee maker",188,192,0.43
"13","price","posterior","coffee maker",192,196,0.4
"13","price","posterior","coffee maker",196,200,0.37
"13","price","posterior","coffee maker",200,204,0.41
"13","price","posterior","coffee maker",204,208,0.38
"13","price","posterior","coffee maker",208,212,0.35
"13","price","posterior","coffee maker",212,216,0.34
"13","price","posterior","coffee maker",216,220,0.32
"13","price","posterior","coffee maker",220,224,0.31
"13","price","posterior","coffee maker",224,228,0.27
"13","price","posterior","coffee maker",228,232,0.27
"13","price","posterior","coffee maker",232,236,0.25
"13","price","posterior","coffee maker",236,240,0.24
"13","price","posterior","coffee maker",240,244,0.3
"13","price","posterior","coffee maker",244,248,0.29
"13","price","posterior","coffee maker",248,252,0.28
"13","price","posterior","coffee maker",252,256,0.28
"13","price","posterior","coffee maker",256,260,0.25
"13","price","posterior","coffee maker",260,264,0.25
"13","price","posterior","coffee maker",264,268,0.23
"13","price","posterior","coffee maker",268,NA,0.64
"14","age","prior","new parent",0,5,0
"14","age","prior","new parent",5,10,0
"14","age","prior","new parent",10,15,0.28
"14","age","prior","new parent",15,20,0.63
"14","age","prior","new parent",20,25,0.78
"14","age","prior","new parent",25,30,0.7
"14","age","prior","new parent",30,35,0.59
"14","age","prior","new parent",35,40,0.57
"14","age","prior","new parent",40,45,0.4
"14","age","prior","new parent",45,50,0.28
"14","age","prior","new parent",50,55,0
"14","age","prior","new parent",55,60,0
"14","age","prior","new parent",60,65,0
"14","age","prior","new parent",65,70,0
"14","age","prior","new parent",70,75,0
"14","age","prior","new parent",75,80,0
"14","age","prior","new parent",80,85,0
"14","age","prior","new parent",85,NA,0
"15","price","prior","laptop",0,50,0
"15","price","prior","laptop",50,100,0
"15","price","prior","laptop",100,150,0.14
"15","price","prior","laptop",150,200,0.21
"15","price","prior","laptop",200,250,0.33
"15","price","prior","laptop",250,300,0.61
"15","price","prior","laptop",300,350,0.67
"15","price","prior","laptop",350,400,0.67
"15","price","prior","laptop",400,450,0.87
"15","price","prior","laptop",450,500,0.76
"15","price","prior","laptop",500,550,0.59
"15","price","prior","laptop",550,600,0.55
"15","price","prior","laptop",600,650,0.56
"15","price","prior","laptop",650,700,0.58
"15","price","prior","laptop",700,750,0.56
"15","price","prior","laptop",750,800,0.6
"15","price","prior","laptop",800,850,0.61
"15","price","prior","laptop",850,900,0.41
"15","price","prior","laptop",900,950,0.39
"15","price","prior","laptop",950,1000,0.37
"15","price","prior","laptop",1000,1050,0.53
"15","price","prior","laptop",1050,1100,0.4
"15","price","prior","laptop",1100,1150,0.12
"15","price","prior","laptop",1150,1200,0.07
"15","price","prior","laptop",1200,1250,0
"15","price","prior","laptop",1250,1300,0
"15","price","prior","laptop",1300,1350,0.01
"15","price","prior","laptop",1350,1400,0
"15","price","prior","laptop",1400,1450,0
"15","price","prior","laptop",1450,1500,0
"15","price","prior","laptop",1500,1550,0.01
"15","price","prior","laptop",1550,1600,0
"15","price","prior","laptop",1600,1650,0
"15","price","prior","laptop",1650,1700,0
"15","price","prior","laptop",1700,1750,0
"15","price","prior","laptop",1750,1800,0.04
"15","price","prior","laptop",1800,1850,0
"15","price","prior","laptop",1850,1900,0
"15","price","prior","laptop",1900,1950,0.01
"15","price","prior","laptop",1950,2000,0
"15","price","prior","laptop",2000,2050,0.03
"15","price","prior","laptop",2050,2100,0
"15","price","prior","laptop",2100,2150,0
"15","price","prior","laptop",2150,2200,0
"15","price","prior","laptop",2200,2250,0
"15","price","prior","laptop",2250,2300,0
"15","price","prior","laptop",2300,2350,0
"15","price","prior","laptop",2350,2400,0
"15","price","prior","laptop",2400,2450,0
"15","price","prior","laptop",2450,NA,0
"16","height","posterior","tree",0,5,1
"16","height","posterior","tree",5,10,1
"16","height","posterior","tree",10,15,1
"16","height","posterior","tree",15,20,1
"16","height","posterior","tree",20,25,0.7
"16","height","posterior","tree",25,30,0.67
"16","height","posterior","tree",30,35,0.5
"16","height","posterior","tree",35,40,0.5
"16","height","posterior","tree",40,45,0.5
"16","height","posterior","tree",45,50,0.5
"16","height","posterior","tree",50,55,0.41
"16","height","posterior","tree",55,60,0.29
"16","height","posterior","tree",60,65,0
"16","height","posterior","tree",65,70,0
"16","height","posterior","tree",70,75,0
"16","height","posterior","tree",75,80,0
"16","height","posterior","tree",80,85,0
"16","height","posterior","tree",85,90,0
"16","height","posterior","tree",90,95,0.02
"16","height","posterior","tree",95,NA,0
"17","age","posterior","new parent",0,5,0
"17","age","posterior","new parent",5,10,0
"17","age","posterior","new parent",10,15,0
"17","age","posterior","new parent",15,20,0
"17","age","posterior","new parent",20,25,0
"17","age","posterior","new parent",25,30,0
"17","age","posterior","new parent",30,35,0
"17","age","posterior","new parent",35,40,0
"17","age","posterior","new parent",40,45,0.29
"17","age","posterior","new parent",45,50,0.44
"17","age","posterior","new parent",50,55,0.65
"17","age","posterior","new parent",55,60,0.76
"17","age","posterior","new parent",60,65,0.88
"17","age","posterior","new parent",65,70,1
"17","age","posterior","new parent",70,75,1
"17","age","posterior","new parent",75,80,1
"17","age","posterior","new parent",80,85,1
"17","age","posterior","new parent",85,NA,1
"18","height","prior","mountain",0,1000,1
"18","height","prior","mountain",1000,2000,0.99
"18","height","prior","mountain",2000,3000,1
"18","height","prior","mountain",3000,4000,1
"18","height","prior","mountain",4000,5000,0.73
"18","height","prior","mountain",5000,6000,0.71
"18","height","prior","mountain",6000,7000,0.71
"18","height","prior","mountain",7000,8000,0.71
"18","height","prior","mountain",8000,9000,0.7
"18","height","prior","mountain",9000,10000,0.71
"18","height","prior","mountain",10000,11000,0.71
"18","height","prior","mountain",11000,12000,0.66
"18","height","prior","mountain",12000,13000,0.68
"18","height","prior","mountain",13000,14000,0.5
"18","height","prior","mountain",14000,15000,0.5
"18","height","prior","mountain",15000,16000,0.5
"18","height","prior","mountain",16000,17000,0.5
"18","height","prior","mountain",17000,18000,0.5
"18","height","prior","mountain",18000,19000,0.5
"18","height","prior","mountain",19000,NA,0.5
"19","height","prior","building",0,10,0.16
"19","height","prior","building",10,20,0.08
"19","height","prior","building",20,30,0.1
"19","height","prior","building",30,40,0.55
"19","height","prior","building",40,50,0.64
"19","height","prior","building",50,60,0.6
"19","height","prior","building",60,70,0.64
"19","height","prior","building",70,80,0.41
"19","height","prior","building",80,90,0.38
"19","height","prior","building",90,100,0.34
"19","height","prior","building",100,110,0.57
"19","height","prior","building",110,120,0.59
"19","height","prior","building",120,130,0.58
"19","height","prior","building",130,140,0.69
"19","height","prior","building",140,150,0.69
"19","height","prior","building",150,160,0.28
"19","height","prior","building",160,170,0.31
"19","height","prior","building",170,180,0.31
"19","height","prior","building",180,190,0.25
"19","height","prior","building",190,NA,0.25
"20","price","prior","laptop",0,50,0.27
"20","price","prior","laptop",50,100,0.27
"20","price","prior","laptop",100,150,0.3
"20","price","prior","laptop",150,200,0.34
"20","price","prior","laptop",200,250,0.93
"20","price","prior","laptop",250,300,0.94
"20","price","prior","laptop",300,350,0.92
"20","price","prior","laptop",350,400,0.58
"20","price","prior","laptop",400,450,0.59
"20","price","prior","laptop",450,500,0.57
"20","price","prior","laptop",500,550,0.83
"20","price","prior","laptop",550,600,0.82
"20","price","prior","laptop",600,650,0.82
"20","price","prior","laptop",650,700,0.8
"20","price","prior","laptop",700,750,0.79
"20","price","prior","laptop",750,800,0.04
"20","price","prior","laptop",800,850,0.03
"20","price","prior","laptop",850,900,0.03
"20","price","prior","laptop",900,950,0.01
"20","price","prior","laptop",950,1000,0.03
"20","price","prior","laptop",1000,1050,0.02
"20","price","prior","laptop",1050,1100,0.03
"20","price","prior","laptop",1100,1150,0.02
"20","price","prior","laptop",1150,1200,0.03
"20","price","prior","laptop",1200,1250,0.03
"20","price","prior","laptop",1250,1300,0.03
"20","price","prior","laptop",1300,1350,0.02
"20","price","prior","laptop",1350,1400,0.02
"20","price","prior","laptop",1400,1450,0.03
"20","price","prior","laptop",1450,1500,0.03
"20","price","prior","laptop",1500,1550,0.01
"20","price","prior","laptop",1550,1600,0.01
"20","price","prior","laptop",1600,1650,0.04
"20","price","prior","laptop",1650,1700,0.04
"20","price","prior","laptop",1700,1750,0.01
"20","price","prior","laptop",1750,1800,0.01
"20","price","prior","laptop",1800,1850,0.02
"20","price","prior","laptop",1850,1900,0.02
"20","price","prior","laptop",1900,1950,0.01
"20","price","prior","laptop",1950,2000,0.03
"20","price","prior","laptop",2000,2050,0.05
"20","price","prior","laptop",2050,2100,0.04
"20","price","prior","laptop",2100,2150,0.02
"20","price","prior","laptop",2150,2200,0.02
"20","price","prior","laptop",2200,2250,0.03
"20","price","prior","laptop",2250,2300,0.03
"20","price","prior","laptop",2300,2350,0.01
"20","price","prior","laptop",2350,2400,0.01
"20","price","prior","laptop",2400,2450,0.03
"20","price","prior","laptop",2450,NA,0.01
"21","age","prior","college student",0,5,0.01
"21","age","prior","college student",5,10,0
"21","age","prior","college student",10,15,0.2
"21","age","prior","college student",15,20,1
"21","age","prior","college student",20,25,1
"21","age","prior","college student",25,30,0.74
"21","age","prior","college student",30,35,0.65
"21","age","prior","college student",35,40,0.5
"21","age","prior","college student",40,45,0.34
"21","age","prior","college student",45,50,0.15
"21","age","prior","college student",50,55,0.11
"21","age","prior","college student",55,60,0.08
"21","age","prior","college student",60,65,0
"21","age","prior","college student",65,70,0
"21","age","prior","college student",70,75,0
"21","age","prior","college student",75,80,0
"21","age","prior","college student",80,85,0
"21","age","prior","college student",85,NA,0
"22","price","posterior","watch",0,50,0.23
"22","price","posterior","watch",50,100,0.25
"22","price","posterior","watch",100,150,0.41
"22","price","posterior","watch",150,200,0.51
"22","price","posterior","watch",200,250,0.62
"22","price","posterior","watch",250,300,0.78
"22","price","posterior","watch",300,350,1
"22","price","posterior","watch",350,400,0.82
"22","price","posterior","watch",400,450,0.7
"22","price","posterior","watch",450,500,0.62
"22","price","posterior","watch",500,550,0.76
"22","price","posterior","watch",550,600,0.59
"22","price","posterior","watch",600,650,0.44
"22","price","posterior","watch",650,700,0.19
"22","price","posterior","watch",700,750,0.03
"22","price","posterior","watch",750,800,0.03
"22","price","posterior","watch",800,850,0.02
"22","price","posterior","watch",850,900,0.03
"22","price","posterior","watch",900,950,0.03
"22","price","posterior","watch",950,1000,0.03
"22","price","posterior","watch",1000,1050,0.52
"22","price","posterior","watch",1050,1100,0.64
"22","price","posterior","watch",1100,1150,0.71
"22","price","posterior","watch",1150,1200,0.74
"22","price","posterior","watch",1200,1250,0.65
"22","price","posterior","watch",1250,1300,0.62
"22","price","posterior","watch",1300,1350,0.42
"22","price","posterior","watch",1350,1400,0.35
"22","price","posterior","watch",1400,1450,0.29
"22","price","posterior","watch",1450,1500,0.01
"22","price","posterior","watch",1500,1550,0.39
"22","price","posterior","watch",1550,1600,0.58
"22","price","posterior","watch",1600,1650,0.69
"22","price","posterior","watch",1650,1700,0.8
"22","price","posterior","watch",1700,1750,0.87
"22","price","posterior","watch",1750,1800,0.59
"22","price","posterior","watch",1800,1850,0.42
"22","price","posterior","watch",1850,1900,0.31
"22","price","posterior","watch",1900,1950,0.23
"22","price","posterior","watch",1950,2000,0.02
"22","price","posterior","watch",2000,2050,0.36
"22","price","posterior","watch",2050,2100,0.39
"22","price","posterior","watch",2100,2150,0.42
"22","price","posterior","watch",2150,2200,0.59
"22","price","posterior","watch",2200,2250,0.71
"22","price","posterior","watch",2250,2300,0.81
"22","price","posterior","watch",2300,2350,0.82
"22","price","posterior","watch",2350,2400,0.43
"22","price","posterior","watch",2400,2450,0.28
"22","price","posterior","watch",2450,2500,0.03
"22","price","posterior","watch",2500,2550,0.26
