"workerid","item","bin","UB","LB","rating","condition","exp","slider_total","normed_rating"
12,"coffee maker",2,80,40,0.0116887111657951,"original","03",0.0353737311596432,0.330434782608696
12,"coffee maker",3,120,80,0.00615195324515534,"original","03",0.0353737311596432,0.173913043478261
12,"coffee maker",4,160,120,0.000615195324515534,"original","03",0.0353737311596432,0.0173913043478261
12,"coffee maker",5,200,160,0.000615195324515534,"original","03",0.0353737311596432,0.0173913043478261
12,"coffee maker",6,240,200,0.000153798831128883,"original","03",0.0353737311596432,0.00434782608695652
12,"coffee maker",7,280,240,0.000307597662257767,"original","03",0.0353737311596432,0.00869565217391304
12,"coffee maker",8,320,280,0.000307597662257767,"original","03",0.0353737311596432,0.00869565217391304
12,"coffee maker",9,360,320,0.000615195324515534,"original","03",0.0353737311596432,0.0173913043478261
12,"coffee maker",10,400,400,0,"original","03",0.0353737311596432,0
13,"watch",1,60,0,0.00617588932806324,"original","03",0.0647233201581028,0.0954198473282443
13,"watch",2,120,60,0.00901679841897233,"original","03",0.0647233201581028,0.139312977099237
13,"watch",3,180,120,0.00617588932806324,"original","03",0.0647233201581028,0.0954198473282443
13,"watch",4,240,180,0.00629940711462451,"original","03",0.0647233201581028,0.0973282442748092
13,"watch",5,300,240,0.00617588932806324,"original","03",0.0647233201581028,0.0954198473282443
13,"watch",6,360,300,0.00617588932806324,"original","03",0.0647233201581028,0.0954198473282443
13,"watch",7,420,360,0.00617588932806324,"original","03",0.0647233201581028,0.0954198473282443
13,"watch",8,480,420,0.00617588932806324,"original","03",0.0647233201581028,0.0954198473282443
13,"watch",9,540,480,0.00617588932806324,"original","03",0.0647233201581028,0.0954198473282443
13,"watch",10,600,500,0.00617588932806324,"original","03",0.0647233201581028,0.0954198473282443
14,"laptop",1,560,0,0.0167492333097429,"original","03",0.0922387355508375,0.181585677749361
14,"laptop",2,1120,560,0.0188723755602737,"original","03",0.0922387355508375,0.20460358056266
14,"laptop",3,1680,1120,0.016277423920736,"original","03",0.0922387355508375,0.176470588235294
14,"laptop",4,2240,1680,0.0132106628921916,"original","03",0.0922387355508375,0.143222506393862
14,"laptop",5,2800,2240,0.00707714083510262,"original","03",0.0922387355508375,0.0767263427109974
14,"laptop",6,3360,2800,0.0068412361405992,"original","03",0.0922387355508375,0.0741687979539642
14,"laptop",7,3920,3360,0.00448218919556499,"original","03",0.0922387355508375,0.0485933503836317
14,"laptop",8,4480,3920,0.00401037980655815,"original","03",0.0922387355508375,0.0434782608695652
14,"laptop",9,5040,4480,0.00283085633404105,"original","03",0.0922387355508375,0.030690537084399
14,"laptop",10,5600,5000,0.00188723755602736,"original","03",0.0922387355508375,0.020460358056266
15,"laptop",1,560,0,0.0141542816702052,"original","03",0.0516631280962491,0.273972602739726
15,"laptop",2,1120,560,0.0214673271998113,"original","03",0.0516631280962491,0.415525114155251
15,"laptop",3,1680,1120,0.00660533144609578,"original","03",0.0516631280962491,0.127853881278539
15,"laptop",4,2240,1680,0.00518990327907525,"original","03",0.0516631280962491,0.100456621004566
15,"laptop",5,2800,2240,0.00141542816702052,"original","03",0.0516631280962491,0.0273972602739726
15,"laptop",6,3360,2800,0.00141542816702052,"original","03",0.0516631280962491,0.0273972602739726
15,"laptop",7,3920,3360,0.000943618778013682,"original","03",0.0516631280962491,0.0182648401826484
15,"laptop",8,4480,3920,0,"original","03",0.0516631280962491,0
15,"laptop",9,5040,4480,0.000471809389006841,"original","03",0.0516631280962491,0.0091324200913242
15,"laptop",10,5600,5000,0,"original","03",0.0516631280962491,0
16,"sweater",1,40,0,0.0163125948406677,"original","03",0.0523520485584218,0.311594202898551
16,"sweater",2,80,40,0.0189681335356601,"original","03",0.0523520485584218,0.36231884057971
16,"sweater",3,120,80,0.0117602427921093,"original","03",0.0523520485584218,0.22463768115942
16,"sweater",4,160,120,0.00531107738998483,"original","03",0.0523520485584218,0.101449275362319
16,"sweater",5,200,160,0,"original","03",0.0523520485584218,0
16,"sweater",6,240,200,0,"original","03",0.0523520485584218,0
16,"sweater",7,280,240,0,"original","03",0.0523520485584218,0
16,"sweater",8,320,280,0,"original","03",0.0523520485584218,0
16,"sweater",9,360,320,0,"original","03",0.0523520485584218,0
16,"sweater",10,400,400,0,"original","03",0.0523520485584218,0
17,"sweater",1,40,0,0.0189681335356601,"original","03",0.0257966616084977,0.735294117647059
17,"sweater",2,80,40,0.00588012139605463,"original","03",0.0257966616084977,0.227941176470588
17,"sweater",3,120,80,0.000948406676783005,"original","03",0.0257966616084977,0.0367647058823529
17,"sweater",4,160,120,0,"original","03",0.0257966616084977,0
17,"sweater",5,200,160,0,"original","03",0.0257966616084977,0
17,"sweater",6,240,200,0,"original","03",0.0257966616084977,0
17,"sweater",7,280,240,0,"original","03",0.0257966616084977,0
17,"sweater",8,320,280,0,"original","03",0.0257966616084977,0
17,"sweater",9,360,320,0,"original","03",0.0257966616084977,0
17,"sweater",10,400,400,0,"original","03",0.0257966616084977,0
18,"watch",1,60,0,0.0122282608695652,"original","03",0.0823863636363636,0.148425787106447
18,"watch",2,120,60,0.0123517786561265,"original","03",0.0823863636363636,0.149925037481259
18,"watch",3,180,120,0.0100049407114625,"original","03",0.0823863636363636,0.12143928035982
18,"watch",4,240,180,0.0091403162055336,"original","03",0.0823863636363636,0.110944527736132
18,"watch",5,300,240,0.00951086956521739,"original","03",0.0823863636363636,0.11544227886057
18,"watch",6,360,300,0.00778162055335968,"original","03",0.0823863636363636,0.0944527736131934
18,"watch",7,420,360,0.00728754940711462,"original","03",0.0823863636363636,0.088455772113943
18,"watch",8,480,420,0.00617588932806324,"original","03",0.0823863636363636,0.0749625187406297
18,"watch",9,540,480,0.00481719367588933,"original","03",0.0823863636363636,0.0584707646176912
18,"watch",10,600,500,0.00308794466403162,"original","03",0.0823863636363636,0.0374812593703148
19,"headphones",1,30,0,0.00060248222677431,"original","03",0.0319315580190384,0.0188679245283019
19,"headphones",2,60,30,0.00228943246174238,"original","03",0.0319315580190384,0.0716981132075472
19,"headphones",3,90,60,0.00481985781419448,"original","03",0.0319315580190384,0.150943396226415
19,"headphones",4,120,90,0.0079527653934209,"original","03",0.0319315580190384,0.249056603773585
19,"headphones",5,150,120,0.0120496445354862,"original","03",0.0319315580190384,0.377358490566038
19,"headphones",6,180,150,0.00325340402458128,"original","03",0.0319315580190384,0.10188679245283
19,"headphones",7,210,180,0.000722978672129172,"original","03",0.0319315580190384,0.0226415094339623
19,"headphones",8,240,210,0.000240992890709724,"original","03",0.0319315580190384,0.00754716981132075
19,"headphones",9,270,240,0,"original","03",0.0319315580190384,0
19,"headphones",10,300,300,0,"original","03",0.0319315580190384,0
20,"headphones",1,30,0,0.003494396915291,"original","03",0.0430172309916858,0.0812324929971989
20,"headphones",2,60,30,0.00783226894806603,"original","03",0.0430172309916858,0.182072829131653
20,"headphones",3,90,60,0.0119291480901313,"original","03",0.0430172309916858,0.277310924369748
20,"headphones",4,120,90,0.0085552476201952,"original","03",0.0430172309916858,0.198879551820728
20,"headphones",5,150,120,0.00518134715025907,"original","03",0.0430172309916858,0.120448179271709
20,"headphones",6,180,150,0.003494396915291,"original","03",0.0430172309916858,0.0812324929971989
20,"headphones",7,210,180,0.00156645378961321,"original","03",0.0430172309916858,0.0364145658263305
20,"headphones",8,240,210,0.000963971562838896,"original","03",0.0430172309916858,0.0224089635854342
20,"headphones",9,270,240,0,"original","03",0.0430172309916858,0
20,"headphones",10,300,300,0,"original","03",0.0430172309916858,0
0,"coffee maker",1,40,0,0.0123039064903107,"original","03",0.0595201476468779,0.20671834625323
0,"coffee maker",2,80,40,0.0139956936327284,"original","03",0.0595201476468779,0.235142118863049
0,"coffee maker",3,120,80,0.0152260842817595,"original","03",0.0595201476468779,0.255813953488372
0,"coffee maker",4,160,120,0.0103045216856352,"original","03",0.0595201476468779,0.17312661498708
0,"coffee maker",5,200,160,0.0055367579206398,"original","03",0.0595201476468779,0.0930232558139535
0,"coffee maker",6,240,200,0.000922792986773301,"original","03",0.0595201476468779,0.0155038759689922
0,"coffee maker",7,280,240,0.000307597662257767,"original","03",0.0595201476468779,0.00516795865633075
0,"coffee maker",8,320,280,0.000307597662257767,"original","03",0.0595201476468779,0.00516795865633075
0,"coffee maker",9,360,320,0.000307597662257767,"original","03",0.0595201476468779,0.00516795865633075
0,"coffee maker",10,400,400,0.000307597662257767,"original","03",0.0595201476468779,0.00516795865633075
1,"laptop",1,560,0,0.0195800896437839,"original","03",0.0646378862939372,0.302919708029197
1,"laptop",2,1120,560,0.0200518990327908,"original","03",0.0646378862939372,0.31021897810219
1,"laptop",3,1680,1120,0.0136824722811984,"original","03",0.0646378862939372,0.211678832116788
1,"laptop",4,2240,1680,0.00872847369662656,"original","03",0.0646378862939372,0.135036496350365
1,"laptop",5,2800,2240,0.000235904694503421,"original","03",0.0646378862939372,0.00364963503649635
1,"laptop",6,3360,2800,0.000235904694503421,"original","03",0.0646378862939372,0.00364963503649635
1,"laptop",7,3920,3360,0.000943618778013682,"original","03",0.0646378862939372,0.0145985401459854
1,"laptop",8,4480,3920,0.000235904694503421,"original","03",0.0646378862939372,0.00364963503649635
1,"laptop",9,5040,4480,0.000235904694503421,"original","03",0.0646378862939372,0.00364963503649635
1,"laptop",10,5600,5000,0.000707714083510262,"original","03",0.0646378862939372,0.0109489051094891
2,"watch",1,60,0,0.00704051383399209,"original","03",0.0676877470355731,0.104014598540146
2,"watch",2,120,60,0.00802865612648221,"original","03",0.0676877470355731,0.118613138686131
2,"watch",3,180,120,0.00864624505928854,"original","03",0.0676877470355731,0.127737226277372
2,"watch",4,240,180,0.00889328063241107,"original","03",0.0676877470355731,0.131386861313869
2,"watch",5,300,240,0.00864624505928854,"original","03",0.0676877470355731,0.127737226277372
2,"watch",6,360,300,0.00753458498023715,"original","03",0.0676877470355731,0.111313868613139
2,"watch",7,420,360,0.00605237154150198,"original","03",0.0676877470355731,0.0894160583941606
2,"watch",8,480,420,0.00469367588932806,"original","03",0.0676877470355731,0.0693430656934307
2,"watch",9,540,480,0.004199604743083,"original","03",0.0676877470355731,0.062043795620438
2,"watch",10,600,500,0.00395256916996047,"original","03",0.0676877470355731,0.0583941605839416
3,"headphones",1,30,0,0.0102421978551633,"original","03",0.0709724063140137,0.144312393887946
3,"headphones",2,60,30,0.0114471623087119,"original","03",0.0709724063140137,0.161290322580645
3,"headphones",3,90,60,0.0110856729726473,"original","03",0.0709724063140137,0.156196943972835
3,"headphones",4,120,90,0.00976021207374383,"original","03",0.0709724063140137,0.137521222410866
3,"headphones",5,150,120,0.00807326183877576,"original","03",0.0709724063140137,0.113752122241087
3,"headphones",6,180,150,0.0060248222677431,"original","03",0.0709724063140137,0.0848896434634974
3,"headphones",7,210,180,0.00530184359561393,"original","03",0.0709724063140137,0.0747028862478777
3,"headphones",8,240,210,0.00421737558742017,"original","03",0.0709724063140137,0.0594227504244482
3,"headphones",9,270,240,0.00313290757922641,"original","03",0.0709724063140137,0.0441426146010187
3,"headphones",10,300,300,0.00168695023496807,"original","03",0.0709724063140137,0.0237691001697793
4,"sweater",1,40,0,0.0189681335356601,"original","03",0.0447647951441578,0.423728813559322
4,"sweater",2,80,40,0.0119499241274659,"original","03",0.0447647951441578,0.266949152542373
4,"sweater",3,120,80,0.0102427921092564,"original","03",0.0447647951441578,0.228813559322034
4,"sweater",4,160,120,0.00360394537177542,"original","03",0.0447647951441578,0.0805084745762712
4,"sweater",5,200,160,0,"original","03",0.0447647951441578,0
4,"sweater",6,240,200,0,"original","03",0.0447647951441578,0
4,"sweater",7,280,240,0,"original","03",0.0447647951441578,0
4,"sweater",8,320,280,0,"original","03",0.0447647951441578,0
4,"sweater",9,360,320,0,"original","03",0.0447647951441578,0
4,"sweater",10,400,400,0,"original","03",0.0447647951441578,0
5,"headphones",1,30,0,0.00843475117484034,"original","03",0.0465116279069767,0.181347150259067
5,"headphones",2,60,30,0.00843475117484034,"original","03",0.0465116279069767,0.181347150259067
5,"headphones",3,90,60,0.00988070851909869,"original","03",0.0465116279069767,0.212435233160622
5,"headphones",4,120,90,0.00976021207374383,"original","03",0.0465116279069767,0.209844559585492
5,"headphones",5,150,120,0.00831425472948548,"original","03",0.0465116279069767,0.178756476683938
5,"headphones",6,180,150,0.000843475117484034,"original","03",0.0465116279069767,0.0181347150259067
5,"headphones",7,210,180,0.000120496445354862,"original","03",0.0465116279069767,0.00259067357512953
5,"headphones",8,240,210,0.000240992890709724,"original","03",0.0465116279069767,0.00518134715025907
5,"headphones",9,270,240,0.000120496445354862,"original","03",0.0465116279069767,0.00259067357512953
5,"headphones",10,300,300,0.000361489336064586,"original","03",0.0465116279069767,0.0077720207253886
6,"laptop",1,560,0,0.0155697098372258,"original","03",0.0842179759377212,0.184873949579832
6,"laptop",2,1120,560,0.0228827553668318,"original","03",0.0842179759377212,0.271708683473389
6,"laptop",3,1680,1120,0.0176928520877565,"original","03",0.0842179759377212,0.210084033613445
6,"laptop",4,2240,1680,0.011795234725171,"original","03",0.0842179759377212,0.140056022408964
6,"laptop",5,2800,2240,0.0092002830856334,"original","03",0.0842179759377212,0.109243697478992
6,"laptop",6,3360,2800,0.00424628450106157,"original","03",0.0842179759377212,0.0504201680672269
6,"laptop",7,3920,3360,0.00235904694503421,"original","03",0.0842179759377212,0.0280112044817927
6,"laptop",8,4480,3920,0.000471809389006841,"original","03",0.0842179759377212,0.00560224089635854
6,"laptop",9,5040,4480,0,"original","03",0.0842179759377212,0
6,"laptop",10,5600,5000,0,"original","03",0.0842179759377212,0
7,"watch",1,60,0,0.00901679841897233,"original","03",0.0810276679841897,0.111280487804878
7,"watch",2,120,60,0.0091403162055336,"original","03",0.0810276679841897,0.11280487804878
7,"watch",3,180,120,0.0091403162055336,"original","03",0.0810276679841897,0.11280487804878
7,"watch",4,240,180,0.00889328063241107,"original","03",0.0810276679841897,0.109756097560976
7,"watch",5,300,240,0.0091403162055336,"original","03",0.0810276679841897,0.11280487804878
7,"watch",6,360,300,0.00617588932806324,"original","03",0.0810276679841897,0.076219512195122
7,"watch",7,420,360,0.00617588932806324,"original","03",0.0810276679841897,0.076219512195122
7,"watch",8,480,420,0.00617588932806324,"original","03",0.0810276679841897,0.076219512195122
7,"watch",9,540,480,0.00617588932806324,"original","03",0.0810276679841897,0.076219512195122
7,"watch",10,600,500,0.0109930830039526,"original","03",0.0810276679841897,0.135670731707317
8,"headphones",1,30,0,0.0120496445354862,"original","03",0.0653090733823352,0.18450184501845
8,"headphones",2,60,30,0.0114471623087119,"original","03",0.0653090733823352,0.175276752767528
8,"headphones",3,90,60,0.0108446800819376,"original","03",0.0653090733823352,0.166051660516605
8,"headphones",4,120,90,0.00879624051090493,"original","03",0.0653090733823352,0.134686346863469
8,"headphones",5,150,120,0.00722978672129172,"original","03",0.0653090733823352,0.11070110701107
8,"headphones",6,180,150,0.00554283648632365,"original","03",0.0653090733823352,0.0848708487084871
8,"headphones",7,210,180,0.00361489336064586,"original","03",0.0653090733823352,0.055350553505535
8,"headphones",8,240,210,0.00325340402458128,"original","03",0.0653090733823352,0.0498154981549815
8,"headphones",9,270,240,0.00228943246174238,"original","03",0.0653090733823352,0.0350553505535055
8,"headphones",10,300,300,0.000240992890709724,"original","03",0.0653090733823352,0.003690036900369
9,"coffee maker",1,40,0,0.010612119347893,"original","03",0.0770532143955706,0.137724550898204
9,"coffee maker",2,80,40,0.0110735158412796,"original","03",0.0770532143955706,0.143712574850299
9,"coffee maker",3,120,80,0.010612119347893,"original","03",0.0770532143955706,0.137724550898204
9,"coffee maker",4,160,120,0.00999692402337742,"original","03",0.0770532143955706,0.129740518962076
9,"coffee maker",5,200,160,0.0110735158412796,"original","03",0.0770532143955706,0.143712574850299
9,"coffee maker",6,240,200,0.00768994155644417,"original","03",0.0770532143955706,0.0998003992015968
9,"coffee maker",7,280,240,0.00768994155644417,"original","03",0.0770532143955706,0.0998003992015968
9,"coffee maker",8,320,280,0.00384497077822209,"original","03",0.0770532143955706,0.0499001996007984
9,"coffee maker",9,360,320,0.00415256844047985,"original","03",0.0770532143955706,0.0538922155688623
9,"coffee maker",10,400,400,0.000307597662257767,"original","03",0.0770532143955706,0.00399201596806387
10,"sweater",1,40,0,0.0165022761760243,"original","03",0.0572837632776935,0.288079470198675
10,"sweater",2,80,40,0.0127086494688923,"original","03",0.0572837632776935,0.221854304635762
10,"sweater",3,120,80,0.00739757207890744,"original","03",0.0572837632776935,0.129139072847682
10,"sweater",4,160,120,0.00625948406676783,"original","03",0.0572837632776935,0.109271523178808
10,"sweater",5,200,160,0.00474203338391502,"original","03",0.0572837632776935,0.0827814569536424
10,"sweater",6,240,200,0.00360394537177542,"original","03",0.0572837632776935,0.0629139072847682
10,"sweater",7,280,240,0.00303490136570561,"original","03",0.0572837632776935,0.0529801324503311
10,"sweater",8,320,280,0.00246585735963581,"original","03",0.0572837632776935,0.043046357615894
10,"sweater",9,360,320,0.000379362670713202,"original","03",0.0572837632776935,0.00662251655629139
10,"sweater",10,400,400,0.000189681335356601,"original","03",0.0572837632776935,0.00331125827814569
11,"watch",1,60,0,0.000864624505928854,"original","03",0.0259387351778656,0.0333333333333333
11,"watch",2,120,60,0.00358201581027668,"original","03",0.0259387351778656,0.138095238095238
11,"watch",3,180,120,0.00864624505928854,"original","03",0.0259387351778656,0.333333333333333
11,"watch",4,240,180,0.00839920948616601,"original","03",0.0259387351778656,0.323809523809524
11,"watch",5,300,240,0.00444664031620553,"original","03",0.0259387351778656,0.171428571428571
