"","workerid","reward","comments","age","language","qNumber","qtype","dollar_amount","sigs","object","response","rt","level","id","date","phrasing"
"26","0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",25,"inductive",3,0.1,"headphones",4,NA,NA,"00","2013 August 27 7am","relative"
"27","0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",26,"concrete",50,1,"sweater",9,NA,NA,"00","2013 August 27 7am","relative"
"28","0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",27,"concrete",30,0,"watch",6,NA,NA,"00","2013 August 27 7am","relative"
"29","0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",28,"inductive",0.31,0.01,"headphones",5,NA,NA,"00","2013 August 27 7am","relative"
"30","0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",29,"inductive",300,1,"laptop",3,NA,NA,"00","2013 August 27 7am","relative"
"31","0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",30,"inductive",30,0.1,"laptop",8,NA,NA,"00","2013 August 27 7am","relative"
"32","0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",31,"concrete",80,2,"coffee maker",8,NA,NA,"00","2013 August 27 7am","relative"
"33","0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",32,"concrete",80,3,"sweater",9,NA,NA,"00","2013 August 27 7am","relative"
"34","0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",33,"inductive",2,0.1,"sweater",9,NA,NA,"00","2013 August 27 7am","relative"
"35","0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",34,"concrete",90,2,"headphones",9,NA,NA,"00","2013 August 27 7am","relative"
"36","0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",35,"inductive",2,0.1,"coffee maker",9,NA,NA,"00","2013 August 27 7am","relative"
"37","0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",36,"concrete",30,0,"headphones",5,NA,NA,"00","2013 August 27 7am","relative"
"38","0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",37,"concrete",30,0,"sweater",4,NA,NA,"00","2013 August 27 7am","relative"
"39","0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",38,"concrete",60,1,"headphones",6,NA,NA,"00","2013 August 27 7am","relative"
"40","0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",39,"concrete",50,1,"watch",5,NA,NA,"00","2013 August 27 7am","relative"
"41","1_00","$0.40","""""","""29""","""english""",0,"inductive",8,0.5,"watch",6,NA,NA,"00","2013 August 27 7am","relative"
"42","1_00","$0.40","""""","""29""","""english""",1,"inductive",3,0.01,"laptop",9,NA,NA,"00","2013 August 27 7am","relative"
"43","1_00","$0.40","""""","""29""","""english""",2,"inductive",2,0.1,"sweater",5,NA,NA,"00","2013 August 27 7am","relative"
"44","1_00","$0.40","""""","""29""","""english""",3,"concrete",30,0,"watch",2,NA,NA,"00","2013 August 27 7am","relative"
"45","1_00","$0.40","""""","""29""","""english""",4,"concrete",50,1,"sweater",9,NA,NA,"00","2013 August 27 7am","relative"
"46","1_00","$0.40","""""","""29""","""english""",5,"concrete",80,2,"coffee maker",6,NA,NA,"00","2013 August 27 7am","relative"
"47","1_00","$0.40","""""","""29""","""english""",6,"inductive",15,1,"watch",5,NA,NA,"00","2013 August 27 7am","relative"
"48","1_00","$0.40","""""","""29""","""english""",7,"inductive",30,0.1,"laptop",6,NA,NA,"00","2013 August 27 7am","relative"
"49","1_00","$0.40","""""","""29""","""english""",8,"concrete",30,0,"sweater",4,NA,NA,"00","2013 August 27 7am","relative"
"50","1_00","$0.40","""""","""29""","""english""",9,"inductive",8,0.5,"sweater",8,NA,NA,"00","2013 August 27 7am","relative"
"51","1_00","$0.40","""""","""29""","""english""",10,"concrete",80,3,"watch",5,NA,NA,"00","2013 August 27 7am","relative"
"52","1_00","$0.40","""""","""29""","""english""",11,"concrete",1400,3,"laptop",9,NA,NA,"00","2013 August 27 7am","relative"
"53","1_00","$0.40","""""","""29""","""english""",12,"concrete",600,0,"laptop",1,NA,NA,"00","2013 August 27 7am","relative"
"54","1_00","$0.40","""""","""29""","""english""",13,"concrete",100,3,"headphones",9,NA,NA,"00","2013 August 27 7am","relative"
"55","1_00","$0.40","""""","""29""","""english""",14,"inductive",2,0.1,"watch",9,NA,NA,"00","2013 August 27 7am","relative"
"56","1_00","$0.40","""""","""29""","""english""",15,"inductive",15,1,"sweater",5,NA,NA,"00","2013 August 27 7am","relative"
"57","1_00","$0.40","""""","""29""","""english""",16,"concrete",60,2,"sweater",5,NA,NA,"00","2013 August 27 7am","relative"
"58","1_00","$0.40","""""","""29""","""english""",17,"concrete",30,0,"headphones",3,NA,NA,"00","2013 August 27 7am","relative"
"59","1_00","$0.40","""""","""29""","""english""",18,"inductive",16,0.5,"headphones",4,NA,NA,"00","2013 August 27 7am","relative"
"60","1_00","$0.40","""""","""29""","""english""",19,"concrete",60,1,"coffee maker",1,NA,NA,"00","2013 August 27 7am","relative"
"61","1_00","$0.40","""""","""29""","""english""",20,"inductive",0.15,0.01,"sweater",9,NA,NA,"00","2013 August 27 7am","relative"
"62","1_00","$0.40","""""","""29""","""english""",21,"inductive",11,0.5,"coffee maker",9,NA,NA,"00","2013 August 27 7am","relative"
"63","1_00","$0.40","""""","""29""","""english""",22,"inductive",20,1,"coffee maker",7,NA,NA,"00","2013 August 27 7am","relative"
"64","1_00","$0.40","""""","""29""","""english""",23,"inductive",3,0.1,"headphones",9,NA,NA,"00","2013 August 27 7am","relative"
"65","1_00","$0.40","""""","""29""","""english""",24,"inductive",0.15,0.01,"watch",9,NA,NA,"00","2013 August 27 7am","relative"
"66","1_00","$0.40","""""","""29""","""english""",25,"inductive",0.22,0.01,"coffee maker",9,NA,NA,"00","2013 August 27 7am","relative"
"67","1_00","$0.40","""""","""29""","""english""",26,"inductive",30,1,"headphones",3,NA,NA,"00","2013 August 27 7am","relative"
"68","1_00","$0.40","""""","""29""","""english""",27,"concrete",100,3,"coffee maker",5,NA,NA,"00","2013 August 27 7am","relative"
"69","1_00","$0.40","""""","""29""","""english""",28,"inductive",100,0.5,"laptop",6,NA,NA,"00","2013 August 27 7am","relative"
"70","1_00","$0.40","""""","""29""","""english""",29,"inductive",2,0.1,"coffee maker",1,NA,NA,"00","2013 August 27 7am","relative"
"71","1_00","$0.40","""""","""29""","""english""",30,"concrete",90,2,"headphones",8,NA,NA,"00","2013 August 27 7am","relative"
"72","1_00","$0.40","""""","""29""","""english""",31,"concrete",1100,2,"laptop",9,NA,NA,"00","2013 August 27 7am","relative"
"73","1_00","$0.40","""""","""29""","""english""",32,"concrete",60,1,"headphones",5,NA,NA,"00","2013 August 27 7am","relative"
"74","1_00","$0.40","""""","""29""","""english""",33,"concrete",40,0,"coffee maker",2,NA,NA,"00","2013 August 27 7am","relative"
"75","1_00","$0.40","""""","""29""","""english""",34,"concrete",80,3,"sweater",9,NA,NA,"00","2013 August 27 7am","relative"
"76","1_00","$0.40","""""","""29""","""english""",35,"inductive",300,1,"laptop",5,NA,NA,"00","2013 August 27 7am","relative"
"77","1_00","$0.40","""""","""29""","""english""",36,"concrete",900,1,"laptop",5,NA,NA,"00","2013 August 27 7am","relative"
"78","1_00","$0.40","""""","""29""","""english""",37,"inductive",0.31,0.01,"headphones",1,NA,NA,"00","2013 August 27 7am","relative"
"79","1_00","$0.40","""""","""29""","""english""",38,"concrete",50,1,"watch",1,NA,NA,"00","2013 August 27 7am","relative"
"80","1_00","$0.40","""""","""29""","""english""",39,"concrete",60,2,"watch",2,NA,NA,"00","2013 August 27 7am","relative"
"81","10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",0,"concrete",60,2,"sweater",3,NA,NA,"00","2013 August 27 7am","relative"
"82","10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",1,"concrete",30,0,"watch",1,NA,NA,"00","2013 August 27 7am","relative"
"83","10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",2,"concrete",60,1,"coffee maker",7,NA,NA,"00","2013 August 27 7am","relative"
"84","10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",3,"inductive",2,0.1,"coffee maker",5,NA,NA,"00","2013 August 27 7am","relative"
"85","10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",4,"inductive",11,0.5,"coffee maker",1,NA,NA,"00","2013 August 27 7am","relative"
"86","10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",5,"inductive",30,1,"headphones",1,NA,NA,"00","2013 August 27 7am","relative"
"87","10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",6,"inductive",2,0.1,"sweater",6,NA,NA,"00","2013 August 27 7am","relative"
"88","10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",7,"concrete",100,3,"headphones",9,NA,NA,"00","2013 August 27 7am","relative"
"89","10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",8,"concrete",60,1,"headphones",6,NA,NA,"00","2013 August 27 7am","relative"
"90","10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",9,"inductive",15,1,"sweater",5,NA,NA,"00","2013 August 27 7am","relative"
"91","10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",10,"concrete",1100,2,"laptop",6,NA,NA,"00","2013 August 27 7am","relative"
"92","10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",11,"concrete",900,1,"laptop",5,NA,NA,"00","2013 August 27 7am","relative"
"93","10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",12,"inductive",0.15,0.01,"watch",9,NA,NA,"00","2013 August 27 7am","relative"
"94","10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",13,"concrete",50,1,"watch",4,NA,NA,"00","2013 August 27 7am","relative"
"95","10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",14,"inductive",3,0.01,"laptop",8,NA,NA,"00","2013 August 27 7am","relative"
"96","10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",15,"inductive",0.15,0.01,"sweater",8,NA,NA,"00","2013 August 27 7am","relative"
"97","10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",16,"concrete",30,0,"headphones",4,NA,NA,"00","2013 August 27 7am","relative"
"98","10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",17,"concrete",30,0,"sweater",2,NA,NA,"00","2013 August 27 7am","relative"
"99","10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",18,"inductive",0.22,0.01,"coffee maker",9,NA,NA,"00","2013 August 27 7am","relative"
"100","10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",19,"concrete",90,2,"headphones",7,NA,NA,"00","2013 August 27 7am","relative"
"101","10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",20,"inductive",100,0.5,"laptop",5,NA,NA,"00","2013 August 27 7am","relative"
"102","10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",21,"concrete",50,1,"sweater",4,NA,NA,"00","2013 August 27 7am","relative"
"103","10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",22,"inductive",15,1,"watch",8,NA,NA,"00","2013 August 27 7am","relative"
"104","10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",23,"concrete",40,0,"coffee maker",6,NA,NA,"00","2013 August 27 7am","relative"
"105","10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",24,"concrete",80,3,"watch",6,NA,NA,"00","2013 August 27 7am","relative"
"106","10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",25,"concrete",80,3,"sweater",8,NA,NA,"00","2013 August 27 7am","relative"
"107","10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",26,"inductive",300,1,"laptop",3,NA,NA,"00","2013 August 27 7am","relative"
"108","10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",27,"inductive",16,0.5,"headphones",2,NA,NA,"00","2013 August 27 7am","relative"
"109","10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",28,"concrete",60,2,"watch",7,NA,NA,"00","2013 August 27 7am","relative"
"110","10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",29,"inductive",8,0.5,"watch",6,NA,NA,"00","2013 August 27 7am","relative"
"111","10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",30,"concrete",100,3,"coffee maker",9,NA,NA,"00","2013 August 27 7am","relative"
"112","10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",31,"inductive",0.31,0.01,"headphones",9,NA,NA,"00","2013 August 27 7am","relative"
"113","10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",32,"inductive",8,0.5,"sweater",7,NA,NA,"00","2013 August 27 7am","relative"
"114","10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",33,"concrete",600,0,"laptop",4,NA,NA,"00","2013 August 27 7am","relative"
"115","10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",34,"inductive",2,0.1,"watch",8,NA,NA,"00","2013 August 27 7am","relative"
"116","10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",35,"inductive",20,1,"coffee maker",6,NA,NA,"00","2013 August 27 7am","relative"
"117","10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",36,"concrete",1400,3,"laptop",9,NA,NA,"00","2013 August 27 7am","relative"
"118","10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",37,"inductive",30,0.1,"laptop",6,NA,NA,"00","2013 August 27 7am","relative"
"119","10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",38,"concrete",80,2,"coffee maker",8,NA,NA,"00","2013 August 27 7am","relative"
"120","10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",39,"inductive",3,0.1,"headphones",8,NA,NA,"00","2013 August 27 7am","relative"
"121","11_00","$0.40","""""","""27""","""ENGLISH""",0,"inductive",100,0.5,"laptop",5,NA,NA,"00","2013 August 27 7am","relative"
"122","11_00","$0.40","""""","""27""","""ENGLISH""",1,"concrete",80,3,"watch",6,NA,NA,"00","2013 August 27 7am","relative"
"123","11_00","$0.40","""""","""27""","""ENGLISH""",2,"concrete",30,0,"headphones",3,NA,NA,"00","2013 August 27 7am","relative"
"124","11_00","$0.40","""""","""27""","""ENGLISH""",3,"inductive",20,1,"coffee maker",5,NA,NA,"00","2013 August 27 7am","relative"
"125","11_00","$0.40","""""","""27""","""ENGLISH""",4,"concrete",80,3,"sweater",6,NA,NA,"00","2013 August 27 7am","relative"
"126","11_00","$0.40","""""","""27""","""ENGLISH""",5,"concrete",100,3,"coffee maker",7,NA,NA,"00","2013 August 27 7am","relative"
"127","11_00","$0.40","""""","""27""","""ENGLISH""",6,"inductive",2,0.1,"watch",5,NA,NA,"00","2013 August 27 7am","relative"
"128","11_00","$0.40","""""","""27""","""ENGLISH""",7,"inductive",30,1,"headphones",6,NA,NA,"00","2013 August 27 7am","relative"
"129","11_00","$0.40","""""","""27""","""ENGLISH""",8,"inductive",11,0.5,"coffee maker",6,NA,NA,"00","2013 August 27 7am","relative"
"130","11_00","$0.40","""""","""27""","""ENGLISH""",9,"inductive",30,0.1,"laptop",7,NA,NA,"00","2013 August 27 7am","relative"
"131","11_00","$0.40","""""","""27""","""ENGLISH""",10,"concrete",30,0,"watch",3,NA,NA,"00","2013 August 27 7am","relative"
"132","11_00","$0.40","""""","""27""","""ENGLISH""",11,"inductive",8,0.5,"watch",7,NA,NA,"00","2013 August 27 7am","relative"
"133","11_00","$0.40","""""","""27""","""ENGLISH""",12,"inductive",0.15,0.01,"watch",8,NA,NA,"00","2013 August 27 7am","relative"
"134","11_00","$0.40","""""","""27""","""ENGLISH""",13,"concrete",1400,3,"laptop",7,NA,NA,"00","2013 August 27 7am","relative"
"135","11_00","$0.40","""""","""27""","""ENGLISH""",14,"concrete",60,2,"sweater",5,NA,NA,"00","2013 August 27 7am","relative"
"136","11_00","$0.40","""""","""27""","""ENGLISH""",15,"inductive",0.31,0.01,"headphones",7,NA,NA,"00","2013 August 27 7am","relative"
"137","11_00","$0.40","""""","""27""","""ENGLISH""",16,"concrete",80,2,"coffee maker",7,NA,NA,"00","2013 August 27 7am","relative"
"138","11_00","$0.40","""""","""27""","""ENGLISH""",17,"inductive",3,0.01,"laptop",6,NA,NA,"00","2013 August 27 7am","relative"
"139","11_00","$0.40","""""","""27""","""ENGLISH""",18,"inductive",0.22,0.01,"coffee maker",8,NA,NA,"00","2013 August 27 7am","relative"
"140","11_00","$0.40","""""","""27""","""ENGLISH""",19,"concrete",50,1,"sweater",5,NA,NA,"00","2013 August 27 7am","relative"
"141","11_00","$0.40","""""","""27""","""ENGLISH""",20,"concrete",100,3,"headphones",6,NA,NA,"00","2013 August 27 7am","relative"
"142","11_00","$0.40","""""","""27""","""ENGLISH""",21,"concrete",900,1,"laptop",7,NA,NA,"00","2013 August 27 7am","relative"
"143","11_00","$0.40","""""","""27""","""ENGLISH""",22,"concrete",60,1,"headphones",5,NA,NA,"00","2013 August 27 7am","relative"
"144","11_00","$0.40","""""","""27""","""ENGLISH""",23,"inductive",2,0.1,"coffee maker",7,NA,NA,"00","2013 August 27 7am","relative"
"145","11_00","$0.40","""""","""27""","""ENGLISH""",24,"inductive",2,0.1,"sweater",8,NA,NA,"00","2013 August 27 7am","relative"
"146","11_00","$0.40","""""","""27""","""ENGLISH""",25,"inductive",15,1,"sweater",6,NA,NA,"00","2013 August 27 7am","relative"
"147","11_00","$0.40","""""","""27""","""ENGLISH""",26,"inductive",3,0.1,"headphones",8,NA,NA,"00","2013 August 27 7am","relative"
"148","11_00","$0.40","""""","""27""","""ENGLISH""",27,"inductive",8,0.5,"sweater",6,NA,NA,"00","2013 August 27 7am","relative"
"149","11_00","$0.40","""""","""27""","""ENGLISH""",28,"concrete",40,0,"coffee maker",4,NA,NA,"00","2013 August 27 7am","relative"
"150","11_00","$0.40","""""","""27""","""ENGLISH""",29,"inductive",15,1,"watch",6,NA,NA,"00","2013 August 27 7am","relative"
"151","11_00","$0.40","""""","""27""","""ENGLISH""",30,"concrete",30,0,"sweater",3,NA,NA,"00","2013 August 27 7am","relative"
"152","11_00","$0.40","""""","""27""","""ENGLISH""",31,"inductive",16,0.5,"headphones",6,NA,NA,"00","2013 August 27 7am","relative"
"153","11_00","$0.40","""""","""27""","""ENGLISH""",32,"concrete",1100,2,"laptop",6,NA,NA,"00","2013 August 27 7am","relative"
"154","11_00","$0.40","""""","""27""","""ENGLISH""",33,"concrete",90,2,"headphones",6,NA,NA,"00","2013 August 27 7am","relative"
"155","11_00","$0.40","""""","""27""","""ENGLISH""",34,"inductive",300,1,"laptop",5,NA,NA,"00","2013 August 27 7am","relative"
"156","11_00","$0.40","""""","""27""","""ENGLISH""",35,"inductive",0.15,0.01,"sweater",7,NA,NA,"00","2013 August 27 7am","relative"
"157","11_00","$0.40","""""","""27""","""ENGLISH""",36,"concrete",60,2,"watch",5,NA,NA,"00","2013 August 27 7am","relative"
"158","11_00","$0.40","""""","""27""","""ENGLISH""",37,"concrete",600,0,"laptop",5,NA,NA,"00","2013 August 27 7am","relative"
"159","11_00","$0.40","""""","""27""","""ENGLISH""",38,"concrete",60,1,"coffee maker",5,NA,NA,"00","2013 August 27 7am","relative"
"160","11_00","$0.40","""""","""27""","""ENGLISH""",39,"concrete",50,1,"watch",5,NA,NA,"00","2013 August 27 7am","relative"
"161","12_00","$0.40","""""","""24""","""English""",0,"concrete",50,1,"watch",8,NA,NA,"00","2013 August 27 7am","relative"
"162","12_00","$0.40","""""","""24""","""English""",1,"concrete",1100,2,"laptop",9,NA,NA,"00","2013 August 27 7am","relative"
"163","12_00","$0.40","""""","""24""","""English""",2,"concrete",100,3,"coffee maker",9,NA,NA,"00","2013 August 27 7am","relative"
"164","12_00","$0.40","""""","""24""","""English""",3,"inductive",15,1,"sweater",7,NA,NA,"00","2013 August 27 7am","relative"
"165","12_00","$0.40","""""","""24""","""English""",4,"inductive",0.15,0.01,"sweater",9,NA,NA,"00","2013 August 27 7am","relative"
"166","12_00","$0.40","""""","""24""","""English""",5,"concrete",90,2,"headphones",9,NA,NA,"00","2013 August 27 7am","relative"
"167","12_00","$0.40","""""","""24""","""English""",6,"inductive",2,0.1,"coffee maker",8,NA,NA,"00","2013 August 27 7am","relative"
"168","12_00","$0.40","""""","""24""","""English""",7,"inductive",2,0.1,"watch",8,NA,NA,"00","2013 August 27 7am","relative"
