"workerid","reward","comments","age","language","qNumber","qtype","dollar_amount","sigs","object","response","rt","level","id","date","phrasing"
"0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",11,"concrete",40,0,"coffee maker",7,NA,NA,"00","2013 August 27 7am","relative"
"0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",12,"inductive",3,0.01,"laptop",9,NA,NA,"00","2013 August 27 7am","relative"
"0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",13,"inductive",8,0.5,"watch",9,NA,NA,"00","2013 August 27 7am","relative"
"0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",14,"concrete",900,1,"laptop",6,NA,NA,"00","2013 August 27 7am","relative"
"0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",15,"inductive",16,0.5,"headphones",8,NA,NA,"00","2013 August 27 7am","relative"
"0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",16,"inductive",15,1,"watch",7,NA,NA,"00","2013 August 27 7am","relative"
"0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",17,"inductive",2,0.1,"watch",9,NA,NA,"00","2013 August 27 7am","relative"
"0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",18,"concrete",1400,3,"laptop",9,NA,NA,"00","2013 August 27 7am","relative"
"0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",19,"concrete",100,3,"coffee maker",9,NA,NA,"00","2013 August 27 7am","relative"
"0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",20,"concrete",80,3,"watch",4,NA,NA,"00","2013 August 27 7am","relative"
"0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",21,"inductive",0.22,0.01,"coffee maker",5,NA,NA,"00","2013 August 27 7am","relative"
"0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",22,"inductive",8,0.5,"sweater",7,NA,NA,"00","2013 August 27 7am","relative"
"0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",23,"inductive",30,1,"headphones",6,NA,NA,"00","2013 August 27 7am","relative"
"0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",24,"concrete",600,0,"laptop",4,NA,NA,"00","2013 August 27 7am","relative"
"0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",25,"inductive",3,0.1,"headphones",4,NA,NA,"00","2013 August 27 7am","relative"
"0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",26,"concrete",50,1,"sweater",9,NA,NA,"00","2013 August 27 7am","relative"
"0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",27,"concrete",30,0,"watch",6,NA,NA,"00","2013 August 27 7am","relative"
"0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",28,"inductive",0.31,0.01,"headphones",5,NA,NA,"00","2013 August 27 7am","relative"
"0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",29,"inductive",300,1,"laptop",3,NA,NA,"00","2013 August 27 7am","relative"
"0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",30,"inductive",30,0.1,"laptop",8,NA,NA,"00","2013 August 27 7am","relative"
"0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",31,"concrete",80,2,"coffee maker",8,NA,NA,"00","2013 August 27 7am","relative"
"0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",32,"concrete",80,3,"sweater",9,NA,NA,"00","2013 August 27 7am","relative"
"0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",33,"inductive",2,0.1,"sweater",9,NA,NA,"00","2013 August 27 7am","relative"
"0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",34,"concrete",90,2,"headphones",9,NA,NA,"00","2013 August 27 7am","relative"
"0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",35,"inductive",2,0.1,"coffee maker",9,NA,NA,"00","2013 August 27 7am","relative"
"0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",36,"concrete",30,0,"headphones",5,NA,NA,"00","2013 August 27 7am","relative"
"0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",37,"concrete",30,0,"sweater",4,NA,NA,"00","2013 August 27 7am","relative"
"0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",38,"concrete",60,1,"headphones",6,NA,NA,"00","2013 August 27 7am","relative"
"0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",39,"concrete",50,1,"watch",5,NA,NA,"00","2013 August 27 7am","relative"
"1_00","$0.40","""""","""29""","""english""",0,"inductive",8,0.5,"watch",6,NA,NA,"00","2013 August 27 7am","relative"
"1_00","$0.40","""""","""29""","""english""",1,"inductive",3,0.01,"laptop",9,NA,NA,"00","2013 August 27 7am","relative"
"1_00","$0.40","""""","""29""","""english""",2,"inductive",2,0.1,"sweater",5,NA,NA,"00","2013 August 27 7am","relative"
"1_00","$0.40","""""","""29""","""english""",3,"concrete",30,0,"watch",2,NA,NA,"00","2013 August 27 7am","relative"
"1_00","$0.40","""""","""29""","""english""",4,"concrete",50,1,"sweater",9,NA,NA,"00","2013 August 27 7am","relative"
"1_00","$0.40","""""","""29""","""english""",5,"concrete",80,2,"coffee maker",6,NA,NA,"00","2013 August 27 7am","relative"
"1_00","$0.40","""""","""29""","""english""",6,"inductive",15,1,"watch",5,NA,NA,"00","2013 August 27 7am","relative"
"1_00","$0.40","""""","""29""","""english""",7,"inductive",30,0.1,"laptop",6,NA,NA,"00","2013 August 27 7am","relative"
"1_00","$0.40","""""","""29""","""english""",8,"concrete",30,0,"sweater",4,NA,NA,"00","2013 August 27 7am","relative"
"1_00","$0.40","""""","""29""","""english""",9,"inductive",8,0.5,"sweater",8,NA,NA,"00","2013 August 27 7am","relative"
"1_00","$0.40","""""","""29""","""english""",10,"concrete",80,3,"watch",5,NA,NA,"00","2013 August 27 7am","relative"
"1_00","$0.40","""""","""29""","""english""",11,"concrete",1400,3,"laptop",9,NA,NA,"00","2013 August 27 7am","relative"
"1_00","$0.40","""""","""29""","""english""",12,"concrete",600,0,"laptop",1,NA,NA,"00","2013 August 27 7am","relative"
"1_00","$0.40","""""","""29""","""english""",13,"concrete",100,3,"headphones",9,NA,NA,"00","2013 August 27 7am","relative"
"1_00","$0.40","""""","""29""","""english""",14,"inductive",2,0.1,"watch",9,NA,NA,"00","2013 August 27 7am","relative"
"1_00","$0.40","""""","""29""","""english""",15,"inductive",15,1,"sweater",5,NA,NA,"00","2013 August 27 7am","relative"
"1_00","$0.40","""""","""29""","""english""",16,"concrete",60,2,"sweater",5,NA,NA,"00","2013 August 27 7am","relative"
"1_00","$0.40","""""","""29""","""english""",17,"concrete",30,0,"headphones",3,NA,NA,"00","2013 August 27 7am","relative"
"1_00","$0.40","""""","""29""","""english""",18,"inductive",16,0.5,"headphones",4,NA,NA,"00","2013 August 27 7am","relative"
"1_00","$0.40","""""","""29""","""english""",19,"concrete",60,1,"coffee maker",1,NA,NA,"00","2013 August 27 7am","relative"
"1_00","$0.40","""""","""29""","""english""",20,"inductive",0.15,0.01,"sweater",9,NA,NA,"00","2013 August 27 7am","relative"
"1_00","$0.40","""""","""29""","""english""",21,"inductive",11,0.5,"coffee maker",9,NA,NA,"00","2013 August 27 7am","relative"
"1_00","$0.40","""""","""29""","""english""",22,"inductive",20,1,"coffee maker",7,NA,NA,"00","2013 August 27 7am","relative"
"1_00","$0.40","""""","""29""","""english""",23,"inductive",3,0.1,"headphones",9,NA,NA,"00","2013 August 27 7am","relative"
"1_00","$0.40","""""","""29""","""english""",24,"inductive",0.15,0.01,"watch",9,NA,NA,"00","2013 August 27 7am","relative"
"1_00","$0.40","""""","""29""","""english""",25,"inductive",0.22,0.01,"coffee maker",9,NA,NA,"00","2013 August 27 7am","relative"
"1_00","$0.40","""""","""29""","""english""",26,"inductive",30,1,"headphones",3,NA,NA,"00","2013 August 27 7am","relative"
"1_00","$0.40","""""","""29""","""english""",27,"concrete",100,3,"coffee maker",5,NA,NA,"00","2013 August 27 7am","relative"
"1_00","$0.40","""""","""29""","""english""",28,"inductive",100,0.5,"laptop",6,NA,NA,"00","2013 August 27 7am","relative"
"1_00","$0.40","""""","""29""","""english""",29,"inductive",2,0.1,"coffee maker",1,NA,NA,"00","2013 August 27 7am","relative"
"1_00","$0.40","""""","""29""","""english""",30,"concrete",90,2,"headphones",8,NA,NA,"00","2013 August 27 7am","relative"
"1_00","$0.40","""""","""29""","""english""",31,"concrete",1100,2,"laptop",9,NA,NA,"00","2013 August 27 7am","relative"
"1_00","$0.40","""""","""29""","""english""",32,"concrete",60,1,"headphones",5,NA,NA,"00","2013 August 27 7am","relative"
"1_00","$0.40","""""","""29""","""english""",33,"concrete",40,0,"coffee maker",2,NA,NA,"00","2013 August 27 7am","relative"
"1_00","$0.40","""""","""29""","""english""",34,"concrete",80,3,"sweater",9,NA,NA,"00","2013 August 27 7am","relative"
"1_00","$0.40","""""","""29""","""english""",35,"inductive",300,1,"laptop",5,NA,NA,"00","2013 August 27 7am","relative"
"1_00","$0.40","""""","""29""","""english""",36,"concrete",900,1,"laptop",5,NA,NA,"00","2013 August 27 7am","relative"
"1_00","$0.40","""""","""29""","""english""",37,"inductive",0.31,0.01,"headphones",1,NA,NA,"00","2013 August 27 7am","relative"
"1_00","$0.40","""""","""29""","""english""",38,"concrete",50,1,"watch",1,NA,NA,"00","2013 August 27 7am","relative"
"1_00","$0.40","""""","""29""","""english""",39,"concrete",60,2,"watch",2,NA,NA,"00","2013 August 27 7am","relative"
"10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",0,"concrete",60,2,"sweater",3,NA,NA,"00","2013 August 27 7am","relative"
"10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",1,"concrete",30,0,"watch",1,NA,NA,"00","2013 August 27 7am","relative"
"10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",2,"concrete",60,1,"coffee maker",7,NA,NA,"00","2013 August 27 7am","relative"
"10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",3,"inductive",2,0.1,"coffee maker",5,NA,NA,"00","2013 August 27 7am","relative"
"10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",4,"inductive",11,0.5,"coffee maker",1,NA,NA,"00","2013 August 27 7am","relative"
"10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",5,"inductive",30,1,"headphones",1,NA,NA,"00","2013 August 27 7am","relative"
"10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",6,"inductive",2,0.1,"sweater",6,NA,NA,"00","2013 August 27 7am","relative"
"10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",7,"concrete",100,3,"headphones",9,NA,NA,"00","2013 August 27 7am","relative"
"10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",8,"concrete",60,1,"headphones",6,NA,NA,"00","2013 August 27 7am","relative"
"10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",9,"inductive",15,1,"sweater",5,NA,NA,"00","2013 August 27 7am","relative"
"10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",10,"concrete",1100,2,"laptop",6,NA,NA,"00","2013 August 27 7am","relative"
"10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",11,"concrete",900,1,"laptop",5,NA,NA,"00","2013 August 27 7am","relative"
"10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",12,"inductive",0.15,0.01,"watch",9,NA,NA,"00","2013 August 27 7am","relative"
"10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",13,"concrete",50,1,"watch",4,NA,NA,"00","2013 August 27 7am","relative"
"10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",14,"inductive",3,0.01,"laptop",8,NA,NA,"00","2013 August 27 7am","relative"
"10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",15,"inductive",0.15,0.01,"sweater",8,NA,NA,"00","2013 August 27 7am","relative"
"10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",16,"concrete",30,0,"headphones",4,NA,NA,"00","2013 August 27 7am","relative"
"10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",17,"concrete",30,0,"sweater",2,NA,NA,"00","2013 August 27 7am","relative"
"10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",18,"inductive",0.22,0.01,"coffee maker",9,NA,NA,"00","2013 August 27 7am","relative"
"10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",19,"concrete",90,2,"headphones",7,NA,NA,"00","2013 August 27 7am","relative"
"10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",20,"inductive",100,0.5,"laptop",5,NA,NA,"00","2013 August 27 7am","relative"
"10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",21,"concrete",50,1,"sweater",4,NA,NA,"00","2013 August 27 7am","relative"
"10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",22,"inductive",15,1,"watch",8,NA,NA,"00","2013 August 27 7am","relative"
"10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",23,"concrete",40,0,"coffee maker",6,NA,NA,"00","2013 August 27 7am","relative"
"10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",24,"concrete",80,3,"watch",6,NA,NA,"00","2013 August 27 7am","relative"
"10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",25,"concrete",80,3,"sweater",8,NA,NA,"00","2013 August 27 7am","relative"
"10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",26,"inductive",300,1,"laptop",3,NA,NA,"00","2013 August 27 7am","relative"
"10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",27,"inductive",16,0.5,"headphones",2,NA,NA,"00","2013 August 27 7am","relative"
"10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",28,"concrete",60,2,"watch",7,NA,NA,"00","2013 August 27 7am","relative"
"10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",29,"inductive",8,0.5,"watch",6,NA,NA,"00","2013 August 27 7am","relative"
"10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",30,"concrete",100,3,"coffee maker",9,NA,NA,"00","2013 August 27 7am","relative"
"10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",31,"inductive",0.31,0.01,"headphones",9,NA,NA,"00","2013 August 27 7am","relative"
"10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",32,"inductive",8,0.5,"sweater",7,NA,NA,"00","2013 August 27 7am","relative"
"10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",33,"concrete",600,0,"laptop",4,NA,NA,"00","2013 August 27 7am","relative"
"10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",34,"inductive",2,0.1,"watch",8,NA,NA,"00","2013 August 27 7am","relative"
"10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",35,"inductive",20,1,"coffee maker",6,NA,NA,"00","2013 August 27 7am","relative"
"10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",36,"concrete",1400,3,"laptop",9,NA,NA,"00","2013 August 27 7am","relative"
"10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",37,"inductive",30,0.1,"laptop",6,NA,NA,"00","2013 August 27 7am","relative"
"10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",38,"concrete",80,2,"coffee maker",8,NA,NA,"00","2013 August 27 7am","relative"
"10_00","$0.40","""Great+survey.+Hard+to+determine+how+much+difference+makes+in+how+expensive+something+is.+""","""22""","""English""",39,"inductive",3,0.1,"headphones",8,NA,NA,"00","2013 August 27 7am","relative"
"11_00","$0.40","""""","""27""","""ENGLISH""",0,"inductive",100,0.5,"laptop",5,NA,NA,"00","2013 August 27 7am","relative"
"11_00","$0.40","""""","""27""","""ENGLISH""",1,"concrete",80,3,"watch",6,NA,NA,"00","2013 August 27 7am","relative"
"11_00","$0.40","""""","""27""","""ENGLISH""",2,"concrete",30,0,"headphones",3,NA,NA,"00","2013 August 27 7am","relative"
"11_00","$0.40","""""","""27""","""ENGLISH""",3,"inductive",20,1,"coffee maker",5,NA,NA,"00","2013 August 27 7am","relative"
"11_00","$0.40","""""","""27""","""ENGLISH""",4,"concrete",80,3,"sweater",6,NA,NA,"00","2013 August 27 7am","relative"
"11_00","$0.40","""""","""27""","""ENGLISH""",5,"concrete",100,3,"coffee maker",7,NA,NA,"00","2013 August 27 7am","relative"
"11_00","$0.40","""""","""27""","""ENGLISH""",6,"inductive",2,0.1,"watch",5,NA,NA,"00","2013 August 27 7am","relative"
"11_00","$0.40","""""","""27""","""ENGLISH""",7,"inductive",30,1,"headphones",6,NA,NA,"00","2013 August 27 7am","relative"
"11_00","$0.40","""""","""27""","""ENGLISH""",8,"inductive",11,0.5,"coffee maker",6,NA,NA,"00","2013 August 27 7am","relative"
"11_00","$0.40","""""","""27""","""ENGLISH""",9,"inductive",30,0.1,"laptop",7,NA,NA,"00","2013 August 27 7am","relative"
"11_00","$0.40","""""","""27""","""ENGLISH""",10,"concrete",30,0,"watch",3,NA,NA,"00","2013 August 27 7am","relative"
"11_00","$0.40","""""","""27""","""ENGLISH""",11,"inductive",8,0.5,"watch",7,NA,NA,"00","2013 August 27 7am","relative"
"11_00","$0.40","""""","""27""","""ENGLISH""",12,"inductive",0.15,0.01,"watch",8,NA,NA,"00","2013 August 27 7am","relative"
"11_00","$0.40","""""","""27""","""ENGLISH""",13,"concrete",1400,3,"laptop",7,NA,NA,"00","2013 August 27 7am","relative"
"11_00","$0.40","""""","""27""","""ENGLISH""",14,"concrete",60,2,"sweater",5,NA,NA,"00","2013 August 27 7am","relative"
"11_00","$0.40","""""","""27""","""ENGLISH""",15,"inductive",0.31,0.01,"headphones",7,NA,NA,"00","2013 August 27 7am","relative"
"11_00","$0.40","""""","""27""","""ENGLISH""",16,"concrete",80,2,"coffee maker",7,NA,NA,"00","2013 August 27 7am","relative"
"11_00","$0.40","""""","""27""","""ENGLISH""",17,"inductive",3,0.01,"laptop",6,NA,NA,"00","2013 August 27 7am","relative"
"11_00","$0.40","""""","""27""","""ENGLISH""",18,"inductive",0.22,0.01,"coffee maker",8,NA,NA,"00","2013 August 27 7am","relative"
"11_00","$0.40","""""","""27""","""ENGLISH""",19,"concrete",50,1,"sweater",5,NA,NA,"00","2013 August 27 7am","relative"
"11_00","$0.40","""""","""27""","""ENGLISH""",20,"concrete",100,3,"headphones",6,NA,NA,"00","2013 August 27 7am","relative"
"11_00","$0.40","""""","""27""","""ENGLISH""",21,"concrete",900,1,"laptop",7,NA,NA,"00","2013 August 27 7am","relative"
"11_00","$0.40","""""","""27""","""ENGLISH""",22,"concrete",60,1,"headphones",5,NA,NA,"00","2013 August 27 7am","relative"
"11_00","$0.40","""""","""27""","""ENGLISH""",23,"inductive",2,0.1,"coffee maker",7,NA,NA,"00","2013 August 27 7am","relative"
"11_00","$0.40","""""","""27""","""ENGLISH""",24,"inductive",2,0.1,"sweater",8,NA,NA,"00","2013 August 27 7am","relative"
"11_00","$0.40","""""","""27""","""ENGLISH""",25,"inductive",15,1,"sweater",6,NA,NA,"00","2013 August 27 7am","relative"
"11_00","$0.40","""""","""27""","""ENGLISH""",26,"inductive",3,0.1,"headphones",8,NA,NA,"00","2013 August 27 7am","relative"
"11_00","$0.40","""""","""27""","""ENGLISH""",27,"inductive",8,0.5,"sweater",6,NA,NA,"00","2013 August 27 7am","relative"
"11_00","$0.40","""""","""27""","""ENGLISH""",28,"concrete",40,0,"coffee maker",4,NA,NA,"00","2013 August 27 7am","relative"
"11_00","$0.40","""""","""27""","""ENGLISH""",29,"inductive",15,1,"watch",6,NA,NA,"00","2013 August 27 7am","relative"
"11_00","$0.40","""""","""27""","""ENGLISH""",30,"concrete",30,0,"sweater",3,NA,NA,"00","2013 August 27 7am","relative"
"11_00","$0.40","""""","""27""","""ENGLISH""",31,"inductive",16,0.5,"headphones",6,NA,NA,"00","2013 August 27 7am","relative"
"11_00","$0.40","""""","""27""","""ENGLISH""",32,"concrete",1100,2,"laptop",6,NA,NA,"00","2013 August 27 7am","relative"
"11_00","$0.40","""""","""27""","""ENGLISH""",33,"concrete",90,2,"headphones",6,NA,NA,"00","2013 August 27 7am","relative"
"11_00","$0.40","""""","""27""","""ENGLISH""",34,"inductive",300,1,"laptop",5,NA,NA,"00","2013 August 27 7am","relative"
"11_00","$0.40","""""","""27""","""ENGLISH""",35,"inductive",0.15,0.01,"sweater",7,NA,NA,"00","2013 August 27 7am","relative"
"11_00","$0.40","""""","""27""","""ENGLISH""",36,"concrete",60,2,"watch",5,NA,NA,"00","2013 August 27 7am","relative"
"11_00","$0.40","""""","""27""","""ENGLISH""",37,"concrete",600,0,"laptop",5,NA,NA,"00","2013 August 27 7am","relative"
"11_00","$0.40","""""","""27""","""ENGLISH""",38,"concrete",60,1,"coffee maker",5,NA,NA,"00","2013 August 27 7am","relative"
"11_00","$0.40","""""","""27""","""ENGLISH""",39,"concrete",50,1,"watch",5,NA,NA,"00","2013 August 27 7am","relative"
"12_00","$0.40","""""","""24""","""English""",0,"concrete",50,1,"watch",8,NA,NA,"00","2013 August 27 7am","relative"
"12_00","$0.40","""""","""24""","""English""",1,"concrete",1100,2,"laptop",9,NA,NA,"00","2013 August 27 7am","relative"
"12_00","$0.40","""""","""24""","""English""",2,"concrete",100,3,"coffee maker",9,NA,NA,"00","2013 August 27 7am","relative"
"12_00","$0.40","""""","""24""","""English""",3,"inductive",15,1,"sweater",7,NA,NA,"00","2013 August 27 7am","relative"
"12_00","$0.40","""""","""24""","""English""",4,"inductive",0.15,0.01,"sweater",9,NA,NA,"00","2013 August 27 7am","relative"
"12_00","$0.40","""""","""24""","""English""",5,"concrete",90,2,"headphones",9,NA,NA,"00","2013 August 27 7am","relative"
"12_00","$0.40","""""","""24""","""English""",6,"inductive",2,0.1,"coffee maker",8,NA,NA,"00","2013 August 27 7am","relative"
"12_00","$0.40","""""","""24""","""English""",7,"inductive",2,0.1,"watch",8,NA,NA,"00","2013 August 27 7am","relative"
"12_00","$0.40","""""","""24""","""English""",8,"concrete",60,1,"headphones",9,NA,NA,"00","2013 August 27 7am","relative"
"12_00","$0.40","""""","""24""","""English""",9,"concrete",60,1,"coffee maker",9,NA,NA,"00","2013 August 27 7am","relative"
"12_00","$0.40","""""","""24""","""English""",10,"inductive",30,1,"headphones",7,NA,NA,"00","2013 August 27 7am","relative"
"12_00","$0.40","""""","""24""","""English""",11,"inductive",30,0.1,"laptop",7,NA,NA,"00","2013 August 27 7am","relative"
"12_00","$0.40","""""","""24""","""English""",12,"inductive",8,0.5,"watch",8,NA,NA,"00","2013 August 27 7am","relative"
"12_00","$0.40","""""","""24""","""English""",13,"inductive",2,0.1,"sweater",8,NA,NA,"00","2013 August 27 7am","relative"
