"Iteration","Chain","type","label","dollar_amount","object","value"
28,1,"concrete","endorsement","600","laptop",0.531408406015522
29,1,"concrete","endorsement","600","laptop",0.531408406015522
30,1,"concrete","endorsement","600","laptop",0.562855595018361
31,1,"concrete","endorsement","600","laptop",0.562855595018361
32,1,"concrete","endorsement","600","laptop",0.420178576741973
33,1,"concrete","endorsement","600","laptop",0.473235439248406
34,1,"concrete","endorsement","600","laptop",0.504851128358698
35,1,"concrete","endorsement","600","laptop",0.504851128358698
36,1,"concrete","endorsement","600","laptop",0.468471895742337
37,1,"concrete","endorsement","600","laptop",0.468471895742337
38,1,"concrete","endorsement","600","laptop",0.468471895742337
39,1,"concrete","endorsement","600","laptop",0.479938096243226
40,1,"concrete","endorsement","600","laptop",0.479938096243226
41,1,"concrete","endorsement","600","laptop",0.496966142157022
42,1,"concrete","endorsement","600","laptop",0.47328259609229
43,1,"concrete","endorsement","600","laptop",0.593043457702736
44,1,"concrete","endorsement","600","laptop",0.508113761740205
45,1,"concrete","endorsement","600","laptop",0.510223914184932
46,1,"concrete","endorsement","600","laptop",0.510223914184932
47,1,"concrete","endorsement","600","laptop",0.473502322510485
48,1,"concrete","endorsement","600","laptop",0.473502322510485
49,1,"concrete","endorsement","600","laptop",0.473502322510485
50,1,"concrete","endorsement","600","laptop",0.521142864259937
1,1,"concrete","endorsement","900","laptop",0.389702585278758
2,1,"concrete","endorsement","900","laptop",0.389702585278758
3,1,"concrete","endorsement","900","laptop",0.389702585278758
4,1,"concrete","endorsement","900","laptop",0.389702585278758
5,1,"concrete","endorsement","900","laptop",0.395082164319784
6,1,"concrete","endorsement","900","laptop",0.61122216325439
7,1,"concrete","endorsement","900","laptop",0.61122216325439
8,1,"concrete","endorsement","900","laptop",0.405822763265278
9,1,"concrete","endorsement","900","laptop",0.405822763265278
10,1,"concrete","endorsement","900","laptop",0.547028442865718
11,1,"concrete","endorsement","900","laptop",0.524381910655467
12,1,"concrete","endorsement","900","laptop",0.586434939716522
13,1,"concrete","endorsement","900","laptop",0.49572291710679
14,1,"concrete","endorsement","900","laptop",0.49572291710679
15,1,"concrete","endorsement","900","laptop",0.530748573628361
16,1,"concrete","endorsement","900","laptop",0.550813097340519
17,1,"concrete","endorsement","900","laptop",0.485876135422654
18,1,"concrete","endorsement","900","laptop",0.504567454273698
19,1,"concrete","endorsement","900","laptop",0.504567454273698
20,1,"concrete","endorsement","900","laptop",0.504567454273698
21,1,"concrete","endorsement","900","laptop",0.504567454273698
22,1,"concrete","endorsement","900","laptop",0.504567454273698
23,1,"concrete","endorsement","900","laptop",0.548351301190721
24,1,"concrete","endorsement","900","laptop",0.463763919131736
25,1,"concrete","endorsement","900","laptop",0.474670425243508
26,1,"concrete","endorsement","900","laptop",0.566891008632888
27,1,"concrete","endorsement","900","laptop",0.640257786947175
28,1,"concrete","endorsement","900","laptop",0.640257786947175
29,1,"concrete","endorsement","900","laptop",0.640257786947175
30,1,"concrete","endorsement","900","laptop",0.667504737152666
31,1,"concrete","endorsement","900","laptop",0.667504737152666
32,1,"concrete","endorsement","900","laptop",0.531254539432192
33,1,"concrete","endorsement","900","laptop",0.5811163281076
34,1,"concrete","endorsement","900","laptop",0.609828076011285
35,1,"concrete","endorsement","900","laptop",0.609828076011285
36,1,"concrete","endorsement","900","laptop",0.574955285018915
37,1,"concrete","endorsement","900","laptop",0.574955285018915
38,1,"concrete","endorsement","900","laptop",0.574955285018915
39,1,"concrete","endorsement","900","laptop",0.585490756204421
40,1,"concrete","endorsement","900","laptop",0.585490756204421
41,1,"concrete","endorsement","900","laptop",0.601742931554713
42,1,"concrete","endorsement","900","laptop",0.579461595748301
43,1,"concrete","endorsement","900","laptop",0.685063032702686
44,1,"concrete","endorsement","900","laptop",0.609450081167531
45,1,"concrete","endorsement","900","laptop",0.611365893313433
46,1,"concrete","endorsement","900","laptop",0.611365893313433
47,1,"concrete","endorsement","900","laptop",0.576599866153407
48,1,"concrete","endorsement","900","laptop",0.576599866153407
49,1,"concrete","endorsement","900","laptop",0.576599866153407
50,1,"concrete","endorsement","900","laptop",0.620050734316585
1,1,"concrete","endorsement","1100","laptop",0.458333976564183
2,1,"concrete","endorsement","1100","laptop",0.458333976564183
3,1,"concrete","endorsement","1100","laptop",0.458333976564183
4,1,"concrete","endorsement","1100","laptop",0.458333976564183
5,1,"concrete","endorsement","1100","laptop",0.463818470503544
6,1,"concrete","endorsement","1100","laptop",0.675200622998065
7,1,"concrete","endorsement","1100","laptop",0.675200622998065
8,1,"concrete","endorsement","1100","laptop",0.47961791973962
9,1,"concrete","endorsement","1100","laptop",0.47961791973962
10,1,"concrete","endorsement","1100","laptop",0.612483688567292
11,1,"concrete","endorsement","1100","laptop",0.58899370097572
12,1,"concrete","endorsement","1100","laptop",0.645091034010049
13,1,"concrete","endorsement","1100","laptop",0.556663333236382
14,1,"concrete","endorsement","1100","laptop",0.556663333236382
15,1,"concrete","endorsement","1100","laptop",0.591089775428078
16,1,"concrete","endorsement","1100","laptop",0.612125538964817
17,1,"concrete","endorsement","1100","laptop",0.549537101511251
18,1,"concrete","endorsement","1100","laptop",0.568268521653186
19,1,"concrete","endorsement","1100","laptop",0.568268521653186
20,1,"concrete","endorsement","1100","laptop",0.568268521653186
21,1,"concrete","endorsement","1100","laptop",0.568268521653186
22,1,"concrete","endorsement","1100","laptop",0.568268521653186
23,1,"concrete","endorsement","1100","laptop",0.609007763077731
24,1,"concrete","endorsement","1100","laptop",0.527251728261625
25,1,"concrete","endorsement","1100","laptop",0.537740636582225
26,1,"concrete","endorsement","1100","laptop",0.624209678921533
27,1,"concrete","endorsement","1100","laptop",0.690562490995072
28,1,"concrete","endorsement","1100","laptop",0.690562490995072
29,1,"concrete","endorsement","1100","laptop",0.690562490995072
30,1,"concrete","endorsement","1100","laptop",0.714101924346416
31,1,"concrete","endorsement","1100","laptop",0.714101924346416
32,1,"concrete","endorsement","1100","laptop",0.58685929392909
33,1,"concrete","endorsement","1100","laptop",0.633212153544053
34,1,"concrete","endorsement","1100","laptop",0.659533223214268
35,1,"concrete","endorsement","1100","laptop",0.659533223214268
36,1,"concrete","endorsement","1100","laptop",0.626258992292467
37,1,"concrete","endorsement","1100","laptop",0.626258992292467
38,1,"concrete","endorsement","1100","laptop",0.626258992292467
39,1,"concrete","endorsement","1100","laptop",0.63599284685678
40,1,"concrete","endorsement","1100","laptop",0.63599284685678
41,1,"concrete","endorsement","1100","laptop",0.651226573163691
42,1,"concrete","endorsement","1100","laptop",0.630474905627699
43,1,"concrete","endorsement","1100","laptop",0.72650028389248
44,1,"concrete","endorsement","1100","laptop",0.657663537914747
45,1,"concrete","endorsement","1100","laptop",0.659338852918232
46,1,"concrete","endorsement","1100","laptop",0.659338852918232
47,1,"concrete","endorsement","1100","laptop",0.626808171685702
48,1,"concrete","endorsement","1100","laptop",0.626808171685702
49,1,"concrete","endorsement","1100","laptop",0.626808171685702
50,1,"concrete","endorsement","1100","laptop",0.666886554840364
1,1,"concrete","endorsement","1200","laptop",0.491031177732246
2,1,"concrete","endorsement","1200","laptop",0.491031177732246
3,1,"concrete","endorsement","1200","laptop",0.491031177732246
4,1,"concrete","endorsement","1200","laptop",0.491031177732246
5,1,"concrete","endorsement","1200","laptop",0.496480151104115
6,1,"concrete","endorsement","1200","laptop",0.70180101635682
7,1,"concrete","endorsement","1200","laptop",0.70180101635682
8,1,"concrete","endorsement","1200","laptop",0.513852862067556
9,1,"concrete","endorsement","1200","laptop",0.513852862067556
10,1,"concrete","endorsement","1200","laptop",0.640943146023718
11,1,"concrete","endorsement","1200","laptop",0.617366720776218
12,1,"concrete","endorsement","1200","laptop",0.670291042863379
13,1,"concrete","endorsement","1200","laptop",0.584315539499025
14,1,"concrete","endorsement","1200","laptop",0.584315539499025
15,1,"concrete","endorsement","1200","laptop",0.61803569944494
16,1,"concrete","endorsement","1200","laptop",0.639272687048893
17,1,"concrete","endorsement","1200","laptop",0.578531458629037
18,1,"concrete","endorsement","1200","laptop",0.59689079054513
19,1,"concrete","endorsement","1200","laptop",0.59689079054513
20,1,"concrete","endorsement","1200","laptop",0.59689079054513
21,1,"concrete","endorsement","1200","laptop",0.59689079054513
22,1,"concrete","endorsement","1200","laptop",0.59689079054513
23,1,"concrete","endorsement","1200","laptop",0.635807692214827
24,1,"concrete","endorsement","1200","laptop",0.556348785660963
25,1,"concrete","endorsement","1200","laptop",0.566516829007327
26,1,"concrete","endorsement","1200","laptop",0.649475089148546
27,1,"concrete","endorsement","1200","laptop",0.71223408620828
28,1,"concrete","endorsement","1200","laptop",0.71223408620828
29,1,"concrete","endorsement","1200","laptop",0.71223408620828
30,1,"concrete","endorsement","1200","laptop",0.733866398269993
31,1,"concrete","endorsement","1200","laptop",0.733866398269993
32,1,"concrete","endorsement","1200","laptop",0.611687107923044
33,1,"concrete","endorsement","1200","laptop",0.656126802920113
34,1,"concrete","endorsement","1200","laptop",0.681223702185961
35,1,"concrete","endorsement","1200","laptop",0.681223702185961
36,1,"concrete","endorsement","1200","laptop",0.648806840161889
37,1,"concrete","endorsement","1200","laptop",0.648806840161889
38,1,"concrete","endorsement","1200","laptop",0.648806840161889
39,1,"concrete","endorsement","1200","laptop",0.658127384711252
40,1,"concrete","endorsement","1200","laptop",0.658127384711252
41,1,"concrete","endorsement","1200","laptop",0.67279147151693
42,1,"concrete","endorsement","1200","laptop",0.652864136956205
43,1,"concrete","endorsement","1200","laptop",0.744245312242406
44,1,"concrete","endorsement","1200","laptop",0.678767949928078
45,1,"concrete","endorsement","1200","laptop",0.680309209283092
46,1,"concrete","endorsement","1200","laptop",0.680309209283092
47,1,"concrete","endorsement","1200","laptop",0.649004503024396
48,1,"concrete","endorsement","1200","laptop",0.649004503024396
49,1,"concrete","endorsement","1200","laptop",0.649004503024396
50,1,"concrete","endorsement","1200","laptop",0.687359529392954
1,1,"concrete","endorsement","1250","laptop",0.523629239436718
2,1,"concrete","endorsement","1250","laptop",0.523629239436718
3,1,"concrete","endorsement","1250","laptop",0.523629239436718
4,1,"concrete","endorsement","1250","laptop",0.523629239436718
5,1,"concrete","endorsement","1250","laptop",0.52903074546018
6,1,"concrete","endorsement","1250","laptop",0.728600338980378
7,1,"concrete","endorsement","1250","laptop",0.728600338980378
8,1,"concrete","endorsement","1250","laptop",0.546813881867889
9,1,"concrete","endorsement","1250","laptop",0.546813881867889
10,1,"concrete","endorsement","1250","laptop",0.669262984938921
11,1,"concrete","endorsement","1250","laptop",0.645786378690863
12,1,"concrete","endorsement","1250","laptop",0.696039972890161
13,1,"concrete","endorsement","1250","laptop",0.611786075371271
14,1,"concrete","endorsement","1250","laptop",0.611786075371271
15,1,"concrete","endorsement","1250","laptop",0.64491827774028
16,1,"concrete","endorsement","1250","laptop",0.666200823391635
17,1,"concrete","endorsement","1250","laptop",0.607136457968595
18,1,"concrete","endorsement","1250","laptop",0.625280496860439
19,1,"concrete","endorsement","1250","laptop",0.625280496860439
20,1,"concrete","endorsement","1250","laptop",0.625280496860439
21,1,"concrete","endorsement","1250","laptop",0.625280496860439
22,1,"concrete","endorsement","1250","laptop",0.625280496860439
23,1,"concrete","endorsement","1250","laptop",0.662666522747663
24,1,"concrete","endorsement","1250","laptop",0.585219608350337
25,1,"concrete","endorsement","1250","laptop",0.595128979481351
26,1,"concrete","endorsement","1250","laptop",0.67512309174419
27,1,"concrete","endorsement","1250","laptop",0.734690162263944
28,1,"concrete","endorsement","1250","laptop",0.734690162263944
29,1,"concrete","endorsement","1250","laptop",0.734690162263944
30,1,"concrete","endorsement","1250","laptop",0.755119630503997
31,1,"concrete","endorsement","1250","laptop",0.755119630503997
32,1,"concrete","endorsement","1250","laptop",0.637560212284891
33,1,"concrete","endorsement","1250","laptop",0.680306156348099
34,1,"concrete","endorsement","1250","laptop",0.704278521191877
35,1,"concrete","endorsement","1250","laptop",0.704278521191877
36,1,"concrete","endorsement","1250","laptop",0.673079696873981
37,1,"concrete","endorsement","1250","laptop",0.673079696873981
38,1,"concrete","endorsement","1250","laptop",0.673079696873981
39,1,"concrete","endorsement","1250","laptop",0.682012916649587
40,1,"concrete","endorsement","1250","laptop",0.682012916649587
41,1,"concrete","endorsement","1250","laptop",0.696151164570802
42,1,"concrete","endorsement","1250","laptop",0.676984503653861
43,1,"concrete","endorsement","1250","laptop",0.763812183891576
44,1,"concrete","endorsement","1250","laptop",0.701489045169983
45,1,"concrete","endorsement","1250","laptop",0.702971386479237
46,1,"concrete","endorsement","1250","laptop",0.702971386479237
47,1,"concrete","endorsement","1250","laptop",0.672803920801335
48,1,"concrete","endorsement","1250","laptop",0.672803920801335
49,1,"concrete","endorsement","1250","laptop",0.672803920801335
50,1,"concrete","endorsement","1250","laptop",0.709525547599882
1,1,"concrete","endorsement","1400","laptop",0.573068900591695
2,1,"concrete","endorsement","1400","laptop",0.573068900591695
3,1,"concrete","endorsement","1400","laptop",0.573068900591695
4,1,"concrete","endorsement","1400","laptop",0.573068900591695
5,1,"concrete","endorsement","1400","laptop",0.578322418330953
6,1,"concrete","endorsement","1400","laptop",0.767015215008017
7,1,"concrete","endorsement","1400","laptop",0.767015215008017
8,1,"concrete","endorsement","1400","laptop",0.596384362343114
9,1,"concrete","endorsement","1400","laptop",0.596384362343114
10,1,"concrete","endorsement","1400","laptop",0.710764727594259
11,1,"concrete","endorsement","1400","laptop",0.687797343172402
12,1,"concrete","endorsement","1400","laptop",0.73378647734715
13,1,"concrete","endorsement","1400","laptop",0.652862781735933
14,1,"concrete","endorsement","1400","laptop",0.652862781735933
15,1,"concrete","endorsement","1400","laptop",0.684786662880754
16,1,"concrete","endorsement","1400","laptop",0.705832053249377
17,1,"concrete","endorsement","1400","laptop",0.649863890482339
18,1,"concrete","endorsement","1400","laptop",0.6675437089159
19,1,"concrete","endorsement","1400","laptop",0.6675437089159
20,1,"concrete","endorsement","1400","laptop",0.6675437089159
21,1,"concrete","endorsement","1400","laptop",0.6675437089159
22,1,"concrete","endorsement","1400","laptop",0.6675437089159
23,1,"concrete","endorsement","1400","laptop",0.702368323789909
24,1,"concrete","endorsement","1400","laptop",0.628709487742821
25,1,"concrete","endorsement","1400","laptop",0.638142239026275
26,1,"concrete","endorsement","1400","laptop",0.71309993798
27,1,"concrete","endorsement","1400","laptop",0.76761792181332
28,1,"concrete","endorsement","1400","laptop",0.76761792181332
29,1,"concrete","endorsement","1400","laptop",0.76761792181332
30,1,"concrete","endorsement","1400","laptop",0.786319526952299
31,1,"concrete","endorsement","1400","laptop",0.786319526952299
32,1,"concrete","endorsement","1400","laptop",0.676595566131109
33,1,"concrete","endorsement","1400","laptop",0.716507697174609
34,1,"concrete","endorsement","1400","laptop",0.738653359157672
35,1,"concrete","endorsement","1400","laptop",0.738653359157672
36,1,"concrete","endorsement","1400","laptop",0.709644439707311
37,1,"concrete","endorsement","1400","laptop",0.709644439707311
38,1,"concrete","endorsement","1400","laptop",0.709644439707311
39,1,"concrete","endorsement","1400","laptop",0.717935515025973
40,1,"concrete","endorsement","1400","laptop",0.717935515025973
41,1,"concrete","endorsement","1400","laptop",0.731172396694947
42,1,"concrete","endorsement","1400","laptop",0.713294425585011
43,1,"concrete","endorsement","1400","laptop",0.79281971007784
44,1,"concrete","endorsement","1400","laptop",0.735556459159904
45,1,"concrete","endorsement","1400","laptop",0.736958787202657
46,1,"concrete","endorsement","1400","laptop",0.736958787202657
47,1,"concrete","endorsement","1400","laptop",0.708728853505647
48,1,"concrete","endorsement","1400","laptop",0.708728853505647
49,1,"concrete","endorsement","1400","laptop",0.708728853505647
50,1,"concrete","endorsement","1400","laptop",0.742764566385242
1,1,"concrete","endorsement","1600","laptop",0.624366462658771
2,1,"concrete","endorsement","1600","laptop",0.624366462658771
3,1,"concrete","endorsement","1600","laptop",0.624366462658771
4,1,"concrete","endorsement","1600","laptop",0.624366462658771
5,1,"concrete","endorsement","1600","laptop",0.629342996372854
6,1,"concrete","endorsement","1600","laptop",0.802859108536029
7,1,"concrete","endorsement","1600","laptop",0.802859108536029
8,1,"concrete","endorsement","1600","laptop",0.647545259841737
9,1,"concrete","endorsement","1600","laptop",0.647545259841737
10,1,"concrete","endorsement","1600","laptop",0.751178533215223
11,1,"concrete","endorsement","1600","laptop",0.729162586837645
12,1,"concrete","endorsement","1600","laptop",0.770164835255564
13,1,"concrete","endorsement","1600","laptop",0.694491212583838
14,1,"concrete","endorsement","1600","laptop",0.694491212583838
15,1,"concrete","endorsement","1600","laptop",0.724537170018669
16,1,"concrete","endorsement","1600","laptop",0.744955650472503
17,1,"concrete","endorsement","1600","laptop",0.693208662256301
18,1,"concrete","endorsement","1600","laptop",0.709973492451143
19,1,"concrete","endorsement","1600","laptop",0.709973492451143
20,1,"concrete","endorsement","1600","laptop",0.709973492451143
21,1,"concrete","endorsement","1600","laptop",0.709973492451143
22,1,"concrete","endorsement","1600","laptop",0.709973492451143
23,1,"concrete","endorsement","1600","laptop",0.741580465794522
24,1,"concrete","endorsement","1600","laptop",0.673241772865655
25,1,"concrete","endorsement","1600","laptop",0.681993261582974
26,1,"concrete","endorsement","1600","laptop",0.750508188827859
27,1,"concrete","endorsement","1600","laptop",0.799280296066855
28,1,"concrete","endorsement","1600","laptop",0.799280296066855
29,1,"concrete","endorsement","1600","laptop",0.799280296066855
30,1,"concrete","endorsement","1600","laptop",0.81585513946922
31,1,"concrete","endorsement","1600","laptop",0.81585513946922
32,1,"concrete","endorsement","1600","laptop",0.715683569218228
33,1,"concrete","endorsement","1600","laptop",0.752139960664122
34,1,"concrete","endorsement","1600","laptop",0.772173894534297
35,1,"concrete","endorsement","1600","laptop",0.772173894534297
36,1,"concrete","endorsement","1600","laptop",0.745621069890807
37,1,"concrete","endorsement","1600","laptop",0.745621069890807
38,1,"concrete","endorsement","1600","laptop",0.745621069890807
39,1,"concrete","endorsement","1600","laptop",0.753160554929878
40,1,"concrete","endorsement","1600","laptop",0.753160554929878
41,1,"concrete","endorsement","1600","laptop",0.765291224840475
42,1,"concrete","endorsement","1600","laptop",0.748967320183912
43,1,"concrete","endorsement","1600","laptop",0.820441786894248
44,1,"concrete","endorsement","1600","laptop",0.768872038853193
45,1,"concrete","endorsement","1600","laptop",0.770148287799364
46,1,"concrete","endorsement","1600","laptop",0.770148287799364
47,1,"concrete","endorsement","1600","laptop",0.744277389969816
48,1,"concrete","endorsement","1600","laptop",0.744277389969816
49,1,"concrete","endorsement","1600","laptop",0.744277389969816
50,1,"concrete","endorsement","1600","laptop",0.775203027995243
1,1,"concrete","endorsement","1800","laptop",0.655656120867169
2,1,"concrete","endorsement","1800","laptop",0.655656120867169
3,1,"concrete","endorsement","1800","laptop",0.655656120867169
4,1,"concrete","endorsement","1800","laptop",0.655656120867169
5,1,"concrete","endorsement","1800","laptop",0.660390573448944
6,1,"concrete","endorsement","1800","laptop",0.822283953957949
7,1,"concrete","endorsement","1800","laptop",0.822283953957949
8,1,"concrete","endorsement","1800","laptop",0.678382002229114
9,1,"concrete","endorsement","1800","laptop",0.678382002229114
10,1,"concrete","endorsement","1800","laptop",0.774094669199135
11,1,"concrete","endorsement","1800","laptop",0.75283773949687
12,1,"concrete","endorsement","1800","laptop",0.790514630123235
13,1,"concrete","endorsement","1800","laptop",0.71922989350689
14,1,"concrete","endorsement","1800","laptop",0.71922989350689
15,1,"concrete","endorsement","1800","laptop",0.747746636214735
16,1,"concrete","endorsement","1800","laptop",0.767605022166088
17,1,"concrete","endorsement","1800","laptop",0.719010454134109
18,1,"concrete","endorsement","1800","laptop",0.73487542587248
19,1,"concrete","endorsement","1800","laptop",0.73487542587248
20,1,"concrete","endorsement","1800","laptop",0.73487542587248
21,1,"concrete","endorsement","1800","laptop",0.73487542587248
22,1,"concrete","endorsement","1800","laptop",0.73487542587248
23,1,"concrete","endorsement","1800","laptop",0.764194549199129
24,1,"concrete","endorsement","1800","laptop",0.699897406503568
25,1,"concrete","endorsement","1800","laptop",0.708118506744099
26,1,"concrete","endorsement","1800","laptop",0.771990187981449
27,1,"concrete","endorsement","1800","laptop",0.816993730509221
28,1,"concrete","endorsement","1800","laptop",0.816993730509221
29,1,"concrete","endorsement","1800","laptop",0.816993730509221
30,1,"concrete","endorsement","1800","laptop",0.831983586299056
31,1,"concrete","endorsement","1800","laptop",0.831983586299056
32,1,"concrete","endorsement","1800","laptop",0.738320238592906
33,1,"concrete","endorsement","1800","laptop",0.772406668783582
34,1,"concrete","endorsement","1800","laptop",0.791054911508688
35,1,"concrete","endorsement","1800","laptop",0.791054911508688
36,1,"concrete","endorsement","1800","laptop",0.765961363176691
37,1,"concrete","endorsement","1800","laptop",0.765961363176691
38,1,"concrete","endorsement","1800","laptop",0.765961363176691
39,1,"concrete","endorsement","1800","laptop",0.773007963884712
40,1,"concrete","endorsement","1800","laptop",0.773007963884712
41,1,"concrete","endorsement","1800","laptop",0.784384830332904
42,1,"concrete","endorsement","1800","laptop",0.76910251619338
43,1,"concrete","endorsement","1800","laptop",0.835555573375928
44,1,"concrete","endorsement","1800","laptop",0.78763029724628
45,1,"concrete","endorsement","1800","laptop",0.788790950841589
46,1,"concrete","endorsement","1800","laptop",0.788790950841589
47,1,"concrete","endorsement","1800","laptop",0.764518899182291
48,1,"concrete","endorsement","1800","laptop",0.764518899182291
49,1,"concrete","endorsement","1800","laptop",0.764518899182291
50,1,"concrete","endorsement","1800","laptop",0.793415147950418
1,1,"concrete","endorsement","1850","laptop",0.704093890446847
2,1,"concrete","endorsement","1850","laptop",0.704093890446847
3,1,"concrete","endorsement","1850","laptop",0.704093890446847
4,1,"concrete","endorsement","1850","laptop",0.704093890446847
5,1,"concrete","endorsement","1850","laptop",0.70844041214831
6,1,"concrete","endorsement","1850","laptop",0.853814231961882
7,1,"concrete","endorsement","1850","laptop",0.853814231961882
8,1,"concrete","endorsement","1850","laptop",0.726099034086049
9,1,"concrete","endorsement","1850","laptop",0.726099034086049
10,1,"concrete","endorsement","1850","laptop",0.810775492417611
11,1,"concrete","endorsement","1850","laptop",0.791098660465788
12,1,"concrete","endorsement","1850","laptop",0.823965364420742
13,1,"concrete","endorsement","1850","laptop",0.758409097267331
14,1,"concrete","endorsement","1850","laptop",0.758409097267331
15,1,"concrete","endorsement","1850","laptop",0.784667750320063
16,1,"concrete","endorsement","1850","laptop",0.803316974503659
17,1,"concrete","endorsement","1850","laptop",0.759470967195083
18,1,"concrete","endorsement","1850","laptop",0.774379555562375
19,1,"concrete","endorsement","1850","laptop",0.774379555562375
20,1,"concrete","endorsement","1850","laptop",0.774379555562375
21,1,"concrete","endorsement","1850","laptop",0.774379555562375
22,1,"concrete","endorsement","1850","laptop",0.774379555562375
23,1,"concrete","endorsement","1850","laptop",0.800420314826864
24,1,"concrete","endorsement","1850","laptop",0.742227687270076
25,1,"concrete","endorsement","1850","laptop",0.749687308169197
26,1,"concrete","endorsement","1850","laptop",0.806813348524522
27,1,"concrete","endorsement","1850","laptop",0.846206612175999
28,1,"concrete","endorsement","1850","laptop",0.846206612175999
29,1,"concrete","endorsement","1850","laptop",0.846206612175999
30,1,"concrete","endorsement","1850","laptop",0.859598578376954
31,1,"concrete","endorsement","1850","laptop",0.859598578376954
32,1,"concrete","endorsement","1850","laptop",0.776272941725617
33,1,"concrete","endorsement","1850","laptop",0.806663095633871
34,1,"concrete","endorsement","1850","laptop",0.823117753682585
35,1,"concrete","endorsement","1850","laptop",0.823117753682585
36,1,"concrete","endorsement","1850","laptop",0.801099463182778
