"dollarAmt","qType","item","prior_version","model"
160,"eps","headphones","v4",0.122322344505757
200,"val","headphones","ebay",1
200,"val","headphones","ebay",1
200,"val","headphones","v4",0.867106335062335
200,"val","headphones","v4",0.867106335062335
250,"eps","headphones","ebay",0
250,"eps","headphones","ebay",0
250,"eps","headphones","v4",0.0149570823346306
250,"eps","headphones","v4",0.0149570823346306
300,"val","headphones","ebay",1
300,"val","headphones","ebay",1
300,"val","headphones","v4",0.996267450889823
300,"val","headphones","v4",0.996267450889823
350,"val","headphones","ebay",1
350,"val","headphones","ebay",1
350,"val","headphones","v4",1
350,"val","headphones","v4",1
450,"val","headphones","ebay",1
450,"val","headphones","ebay",1
450,"val","headphones","v4",1
450,"val","headphones","v4",1
6,"eps","laptop","ebay",1
6,"eps","laptop","ebay",1
6,"eps","laptop","v4",0.999999999999999
6,"eps","laptop","v4",0.999999999999999
60,"eps","laptop","ebay",0.882128968940486
60,"eps","laptop","ebay",0.882128968940486
60,"eps","laptop","v4",0.926878499736133
60,"eps","laptop","v4",0.926878499736133
300,"eps","laptop","ebay",0.446281624379919
300,"eps","laptop","ebay",0.446281624379919
300,"eps","laptop","v4",0.665017297256581
300,"eps","laptop","v4",0.665017297256581
550,"eps","laptop","ebay",0.265530134151916
550,"eps","laptop","ebay",0.265530134151916
550,"eps","laptop","v4",0.454546899799042
550,"eps","laptop","v4",0.454546899799042
1150,"eps","laptop","ebay",0.06423761329036
1150,"eps","laptop","ebay",0.06423761329036
1150,"eps","laptop","v4",0.139880565800294
1150,"eps","laptop","v4",0.139880565800294
1200,"val","laptop","ebay",0.909173914629983
1200,"val","laptop","ebay",0.909173914629983
1200,"val","laptop","v4",0.73201999480911
1200,"val","laptop","v4",0.73201999480911
1700,"eps","laptop","ebay",0.0163245948050356
1700,"eps","laptop","ebay",0.0163245948050356
1700,"eps","laptop","v4",0.0346917023161406
1700,"eps","laptop","v4",0.0346917023161406
1800,"val","laptop","ebay",0.979268649305656
1800,"val","laptop","ebay",0.979268649305656
1800,"val","laptop","v4",0.930158637835438
1800,"val","laptop","v4",0.930158637835438
2350,"val","laptop","ebay",0.992672789876425
2350,"val","laptop","ebay",0.992672789876425
2350,"val","laptop","v4",0.999065407591384
2350,"val","laptop","v4",0.999065407591384
2900,"val","laptop","ebay",0.998043976753734
2900,"val","laptop","ebay",0.998043976753734
2900,"val","laptop","v4",0.999999999999999
2900,"val","laptop","v4",0.999999999999999
3450,"val","laptop","ebay",0.999998859210938
3450,"val","laptop","ebay",0.999998859210938
3450,"val","laptop","v4",0.999999999999999
3450,"val","laptop","v4",0.999999999999999
0.49,"eps","sweater","ebay",1
0.49,"eps","sweater","ebay",1
0.49,"eps","sweater","v4",0.999999999999999
0.49,"eps","sweater","v4",0.999999999999999
5,"eps","sweater","ebay",0.83019778947323
5,"eps","sweater","ebay",0.83019778947323
5,"eps","sweater","v4",0.923855986975682
5,"eps","sweater","v4",0.923855986975682
20,"eps","sweater","ebay",0.505187302390716
20,"eps","sweater","ebay",0.505187302390716
20,"eps","sweater","v4",0.717185057573737
20,"eps","sweater","v4",0.717185057573737
50,"eps","sweater","ebay",0.23295575598736
50,"eps","sweater","ebay",0.23295575598736
50,"eps","sweater","v4",0.401823075930703
50,"eps","sweater","v4",0.401823075930703
80,"val","sweater","ebay",0.825640382916848
80,"val","sweater","ebay",0.825640382916848
80,"val","sweater","v4",0.637248711967395
80,"val","sweater","v4",0.637248711967395
100,"eps","sweater","ebay",0.0850490455494156
100,"eps","sweater","ebay",0.0850490455494156
100,"eps","sweater","v4",0.124282810384767
100,"eps","sweater","v4",0.124282810384767
130,"val","sweater","ebay",0.927292464002477
130,"val","sweater","ebay",0.927292464002477
130,"val","sweater","v4",0.877436806384586
130,"val","sweater","v4",0.877436806384586
150,"eps","sweater","ebay",0.0237598974039825
150,"eps","sweater","ebay",0.0237598974039825
150,"eps","sweater","v4",0.0270793319581232
150,"eps","sweater","v4",0.0270793319581232
180,"val","sweater","ebay",0.992764060576282
180,"val","sweater","ebay",0.992764060576282
180,"val","sweater","v4",0.97327475168707
180,"val","sweater","v4",0.97327475168707
250,"val","sweater","ebay",1
250,"val","sweater","ebay",1
250,"val","sweater","v4",0.999999999999999
250,"val","sweater","v4",0.999999999999999
300,"val","sweater","ebay",1
300,"val","sweater","ebay",1
300,"val","sweater","v4",0.999999999999999
300,"val","sweater","v4",0.999999999999999
7,"eps","watch","ebay",1.00000000000002
7,"eps","watch","ebay",1.00000000000002
7,"eps","watch","v4",1
7,"eps","watch","v4",1
70,"eps","watch","ebay",1.00000000000002
70,"eps","watch","ebay",1.00000000000002
70,"eps","watch","v4",0.893829834958124
70,"eps","watch","v4",0.893829834958124
350,"eps","watch","ebay",1.00000000000002
350,"eps","watch","ebay",1.00000000000002
350,"eps","watch","v4",0.568476547549805
350,"eps","watch","v4",0.568476547549805
650,"eps","watch","ebay",0.847135067494942
650,"eps","watch","ebay",0.847135067494942
650,"eps","watch","v4",0.361995714929711
650,"eps","watch","v4",0.361995714929711
700,"val","watch","ebay",0.212199371266582
700,"val","watch","ebay",0.212199371266582
700,"val","watch","v4",0.520776172641266
700,"val","watch","v4",0.520776172641266
1300,"eps","watch","ebay",0.694210247363115
1300,"eps","watch","ebay",0.694210247363115
1300,"eps","watch","v4",0.125181008764109
1300,"eps","watch","v4",0.125181008764109
1400,"val","watch","ebay",0.328353562826239
1400,"val","watch","ebay",0.328353562826239
1400,"val","watch","v4",0.802372373702824
1400,"val","watch","v4",0.802372373702824
1950,"eps","watch","ebay",0.590005440400506
1950,"eps","watch","ebay",0.590005440400506
1950,"eps","watch","v4",0.0373557076643922
1950,"eps","watch","v4",0.0373557076643922
2050,"val","watch","ebay",0.419047271273365
2050,"val","watch","ebay",0.419047271273365
2050,"val","watch","v4",0.935423178251655
2050,"val","watch","v4",0.935423178251655
2700,"val","watch","ebay",0.456228340598518
2700,"val","watch","ebay",0.456228340598518
2700,"val","watch","v4",0.995309959110714
2700,"val","watch","v4",0.995309959110714
3350,"val","watch","ebay",0.519540650823946
3350,"val","watch","ebay",0.519540650823946
3350,"val","watch","v4",1
3350,"val","watch","v4",1
