"response","dollar_amount","level","qtype","item","phrasing","workerid","language","age","education","comments"
2,188,4,"concrete","coffee maker","relative_clause","2","",NA,"-1",""
1,240,1,"inductive","watch","relative_clause","2","",NA,"-1",""
-2,96,2,"concrete","headphones","relative_clause","2","",NA,"-1",""
-3,350,0,"concrete","laptop","relative_clause","2","",NA,"-1",""
1,1200,2,"inductive","watch","relative_clause","2","",NA,"-1",""
-2,85.5,2,"inductive","sweater","relative_clause","2","",NA,"-1",""
4,1.71,0,"inductive","sweater","relative_clause","2","",NA,"-1",""
3,24,0,"inductive","watch","relative_clause","2","",NA,"-1",""
2,84,2,"concrete","coffee maker","relative_clause","2","",NA,"-1",""
1,100,2,"inductive","coffee maker","relative_clause","2","",NA,"-1",""
-3,60,1,"concrete","headphones","relative_clause","2","",NA,"-1",""
3,150,4,"concrete","sweater","relative_clause","2","",NA,"-1",""
-3,180.6,3,"inductive","headphones","relative_clause","2","",NA,"-1",""
3,900,3,"concrete","watch","relative_clause","2","",NA,"-1",""
3,2000,4,"concrete","watch","relative_clause","2","",NA,"-1",""
1,144,3,"concrete","headphones","relative_clause","2","",NA,"-1",""
1,900,2,"concrete","laptop","relative_clause","2","",NA,"-1",""
2,185,1,"inductive","laptop","relative_clause","2","",NA,"-1",""
-1,57,2,"concrete","sweater","relative_clause","2","",NA,"-1",""
-2,1680,3,"inductive","watch","relative_clause","2","",NA,"-1",""
3,18.5,0,"inductive","laptop","relative_clause","2","",NA,"-1",""
0,600,1,"concrete","laptop","relative_clause","2","",NA,"-1",""
1,87,3,"concrete","sweater","relative_clause","2","",NA,"-1",""
1,52,1,"concrete","coffee maker","relative_clause","2","",NA,"-1",""
-2,119.7,3,"inductive","sweater","relative_clause","2","",NA,"-1",""
2,25.8,1,"inductive","headphones","relative_clause","2","",NA,"-1",""
3,17.1,1,"inductive","sweater","relative_clause","2","",NA,"-1",""
2,1250,3,"concrete","laptop","relative_clause","2","",NA,"-1",""
-1,200,4,"inductive","coffee maker","relative_clause","2","",NA,"-1",""
-2,250,1,"concrete","watch","relative_clause","2","",NA,"-1",""
2,258,4,"inductive","headphones","relative_clause","2","",NA,"-1",""
-1,1850,4,"inductive","laptop","relative_clause","2","",NA,"-1",""
-2,2400,4,"inductive","watch","relative_clause","2","",NA,"-1",""
-1,129,2,"inductive","headphones","relative_clause","2","",NA,"-1",""
-3,24,0,"concrete","headphones","relative_clause","2","",NA,"-1",""
-2,171,4,"inductive","sweater","relative_clause","2","",NA,"-1",""
2,234,4,"concrete","headphones","relative_clause","2","",NA,"-1",""
2,124,3,"concrete","coffee maker","relative_clause","2","",NA,"-1",""
-4,2,0,"inductive","coffee maker","relative_clause","2","",NA,"-1",""
-1,36,1,"concrete","sweater","relative_clause","2","",NA,"-1",""
1,20,1,"inductive","coffee maker","relative_clause","2","",NA,"-1",""
1,450,2,"concrete","watch","relative_clause","2","",NA,"-1",""
3,18.5,0,"inductive","laptop","relative_clause","3","Engllish",49,"2",""
-4,129,2,"inductive","headphones","relative_clause","3","Engllish",49,"2",""
1,450,2,"concrete","watch","relative_clause","3","Engllish",49,"2",""
-4,925,2,"inductive","laptop","relative_clause","3","Engllish",49,"2",""
2,96,2,"concrete","headphones","relative_clause","3","Engllish",49,"2",""
-1,20,1,"inductive","coffee maker","relative_clause","3","Engllish",49,"2",""
2,1680,3,"inductive","watch","relative_clause","3","Engllish",49,"2",""
0,60,1,"concrete","headphones","relative_clause","3","Engllish",49,"2",""
-1,180.6,3,"inductive","headphones","relative_clause","3","Engllish",49,"2",""
-2,119.7,3,"inductive","sweater","relative_clause","3","Engllish",49,"2",""
-2,52,1,"concrete","coffee maker","relative_clause","3","Engllish",49,"2",""
3,17.1,1,"inductive","sweater","relative_clause","3","Engllish",49,"2",""
-3,1295,3,"inductive","laptop","relative_clause","3","Engllish",49,"2",""
-3,36,1,"concrete","sweater","relative_clause","3","Engllish",49,"2",""
0,900,2,"concrete","laptop","relative_clause","3","Engllish",49,"2",""
2,124,3,"concrete","coffee maker","relative_clause","3","Engllish",49,"2",""
-3,24,0,"concrete","headphones","relative_clause","3","Engllish",49,"2",""
2,150,4,"concrete","sweater","relative_clause","3","Engllish",49,"2",""
3,234,4,"concrete","headphones","relative_clause","3","Engllish",49,"2",""
3,1.71,0,"inductive","sweater","relative_clause","3","Engllish",49,"2",""
-4,24,0,"concrete","coffee maker","relative_clause","3","Engllish",49,"2",""
1,1200,2,"inductive","watch","relative_clause","3","Engllish",49,"2",""
-4,350,0,"concrete","laptop","relative_clause","3","Engllish",49,"2",""
2,2000,4,"concrete","watch","relative_clause","3","Engllish",49,"2",""
-4,18,0,"concrete","sweater","relative_clause","3","Engllish",49,"2",""
1,1250,3,"concrete","laptop","relative_clause","3","Engllish",49,"2",""
1,900,3,"concrete","watch","relative_clause","3","Engllish",49,"2",""
-1,100,2,"inductive","coffee maker","relative_clause","3","Engllish",49,"2",""
-1,140,3,"inductive","coffee maker","relative_clause","3","Engllish",49,"2",""
-2,57,2,"concrete","sweater","relative_clause","3","Engllish",49,"2",""
1,144,3,"concrete","headphones","relative_clause","3","Engllish",49,"2",""
-3,1850,4,"inductive","laptop","relative_clause","3","Engllish",49,"2",""
3,2.58,0,"inductive","headphones","relative_clause","3","Engllish",49,"2",""
-2,171,4,"inductive","sweater","relative_clause","3","Engllish",49,"2",""
0,100,0,"concrete","watch","relative_clause","3","Engllish",49,"2",""
0,600,1,"concrete","laptop","relative_clause","3","Engllish",49,"2",""
2,1850,4,"concrete","laptop","relative_clause","3","Engllish",49,"2",""
0,250,1,"concrete","watch","relative_clause","3","Engllish",49,"2",""
1,185,1,"inductive","laptop","relative_clause","3","Engllish",49,"2",""
2,25.8,1,"inductive","headphones","relative_clause","3","Engllish",49,"2",""
4,2,0,"inductive","coffee maker","relative_clause","3","Engllish",49,"2",""
3,188,4,"concrete","coffee maker","relative_clause","3","Engllish",49,"2",""
1,2400,4,"inductive","watch","relative_clause","3","Engllish",49,"2",""
1,87,3,"concrete","sweater","relative_clause","3","Engllish",49,"2",""
-3,85.5,2,"inductive","sweater","relative_clause","3","Engllish",49,"2",""
-3,258,4,"inductive","headphones","relative_clause","3","Engllish",49,"2",""
-3,200,4,"inductive","coffee maker","relative_clause","3","Engllish",49,"2",""
1,240,1,"inductive","watch","relative_clause","3","Engllish",49,"2",""
3,24,0,"inductive","watch","relative_clause","3","Engllish",49,"2",""
2,84,2,"concrete","coffee maker","relative_clause","3","Engllish",49,"2",""
3,185,1,"inductive","laptop","relative_clause","4","English",24,"2",""
4,2,0,"inductive","coffee maker","relative_clause","4","English",24,"2",""
0,85.5,2,"inductive","sweater","relative_clause","4","English",24,"2",""
1,119.7,3,"inductive","sweater","relative_clause","4","English",24,"2",""
2,200,4,"inductive","coffee maker","relative_clause","4","English",24,"2",""
4,17.1,1,"inductive","sweater","relative_clause","4","English",24,"2",""
4,150,4,"concrete","sweater","relative_clause","4","English",24,"2",""
4,234,4,"concrete","headphones","relative_clause","4","English",24,"2",""
4,20,1,"inductive","coffee maker","relative_clause","4","English",24,"2",""
2,180.6,3,"inductive","headphones","relative_clause","4","English",24,"2",""
1,258,4,"inductive","headphones","relative_clause","4","English",24,"2",""
0,1200,2,"inductive","watch","relative_clause","4","English",24,"2",""
3,1250,3,"concrete","laptop","relative_clause","4","English",24,"2",""
4,25.8,1,"inductive","headphones","relative_clause","4","English",24,"2",""
4,18.5,0,"inductive","laptop","relative_clause","4","English",24,"2",""
0,2400,4,"inductive","watch","relative_clause","4","English",24,"2",""
0,600,1,"concrete","laptop","relative_clause","4","English",24,"2",""
0,52,1,"concrete","coffee maker","relative_clause","4","English",24,"2",""
-3,24,0,"concrete","coffee maker","relative_clause","4","English",24,"2",""
-3,24,0,"concrete","headphones","relative_clause","4","English",24,"2",""
1,100,2,"inductive","coffee maker","relative_clause","4","English",24,"2",""
4,450,2,"concrete","watch","relative_clause","4","English",24,"2",""
2,171,4,"inductive","sweater","relative_clause","4","English",24,"2",""
0,84,2,"concrete","coffee maker","relative_clause","4","English",24,"2",""
4,2.58,0,"inductive","headphones","relative_clause","4","English",24,"2",""
4,188,4,"concrete","coffee maker","relative_clause","4","English",24,"2",""
1,925,2,"inductive","laptop","relative_clause","4","English",24,"2",""
0,57,2,"concrete","sweater","relative_clause","4","English",24,"2",""
2,124,3,"concrete","coffee maker","relative_clause","4","English",24,"2",""
0,1295,3,"inductive","laptop","relative_clause","4","English",24,"2",""
1,240,1,"inductive","watch","relative_clause","4","English",24,"2",""
0,140,3,"inductive","coffee maker","relative_clause","4","English",24,"2",""
4,250,1,"concrete","watch","relative_clause","4","English",24,"2",""
4,2000,4,"concrete","watch","relative_clause","4","English",24,"2",""
3,96,2,"concrete","headphones","relative_clause","4","English",24,"2",""
4,1850,4,"concrete","laptop","relative_clause","4","English",24,"2",""
0,1850,4,"inductive","laptop","relative_clause","4","English",24,"2",""
1,129,2,"inductive","headphones","relative_clause","4","English",24,"2",""
4,24,0,"inductive","watch","relative_clause","4","English",24,"2",""
2,144,3,"concrete","headphones","relative_clause","4","English",24,"2",""
-4,18,0,"concrete","sweater","relative_clause","4","English",24,"2",""
1,900,2,"concrete","laptop","relative_clause","4","English",24,"2",""
4,900,3,"concrete","watch","relative_clause","4","English",24,"2",""
0,1680,3,"inductive","watch","relative_clause","4","English",24,"2",""
-3,350,0,"concrete","laptop","relative_clause","4","English",24,"2",""
0,100,0,"concrete","watch","relative_clause","4","English",24,"2",""
4,1.71,0,"inductive","sweater","relative_clause","4","English",24,"2",""
0,87,3,"concrete","sweater","relative_clause","4","English",24,"2",""
-2,36,1,"concrete","sweater","relative_clause","4","English",24,"2",""
1,60,1,"concrete","headphones","relative_clause","4","English",24,"2",""
2,900,2,"concrete","laptop","relative_clause","5","English",40,"3","NA"
-4,24,0,"concrete","headphones","relative_clause","5","English",40,"3","NA"
2,129,2,"inductive","headphones","relative_clause","5","English",40,"3","NA"
1,2.58,0,"inductive","headphones","relative_clause","5","English",40,"3","NA"
2,85.5,2,"inductive","sweater","relative_clause","5","English",40,"3","NA"
3,450,2,"concrete","watch","relative_clause","5","English",40,"3","NA"
-4,2400,4,"inductive","watch","relative_clause","5","English",40,"3","NA"
3,2,0,"inductive","coffee maker","relative_clause","5","English",40,"3","NA"
1,25.8,1,"inductive","headphones","relative_clause","5","English",40,"3","NA"
4,234,4,"concrete","headphones","relative_clause","5","English",40,"3","NA"
-4,119.7,3,"inductive","sweater","relative_clause","5","English",40,"3","NA"
-4,36,1,"concrete","sweater","relative_clause","5","English",40,"3","NA"
4,124,3,"concrete","coffee maker","relative_clause","5","English",40,"3","NA"
-3,1295,3,"inductive","laptop","relative_clause","5","English",40,"3","NA"
-3,60,1,"concrete","headphones","relative_clause","5","English",40,"3","NA"
-4,180.6,3,"inductive","headphones","relative_clause","5","English",40,"3","NA"
3,900,3,"concrete","watch","relative_clause","5","English",40,"3","NA"
-4,18,0,"concrete","sweater","relative_clause","5","English",40,"3","NA"
4,18.5,0,"inductive","laptop","relative_clause","5","English",40,"3","NA"
-3,1680,3,"inductive","watch","relative_clause","5","English",40,"3","NA"
-3,87,3,"concrete","sweater","relative_clause","5","English",40,"3","NA"
-4,258,4,"inductive","headphones","relative_clause","5","English",40,"3","NA"
-4,100,2,"inductive","coffee maker","relative_clause","5","English",40,"3","NA"
2,144,3,"concrete","headphones","relative_clause","5","English",40,"3","NA"
4,1250,3,"concrete","laptop","relative_clause","5","English",40,"3","NA"
4,1.71,0,"inductive","sweater","relative_clause","5","English",40,"3","NA"
4,24,0,"inductive","watch","relative_clause","5","English",40,"3","NA"
3,17.1,1,"inductive","sweater","relative_clause","5","English",40,"3","NA"
4,150,4,"concrete","sweater","relative_clause","5","English",40,"3","NA"
2,185,1,"inductive","laptop","relative_clause","5","English",40,"3","NA"
-4,57,2,"concrete","sweater","relative_clause","5","English",40,"3","NA"
-4,1200,2,"inductive","watch","relative_clause","5","English",40,"3","NA"
-1,100,0,"concrete","watch","relative_clause","5","English",40,"3","NA"
1,240,1,"inductive","watch","relative_clause","5","English",40,"3","NA"
-4,171,4,"inductive","sweater","relative_clause","5","English",40,"3","NA"
-4,52,1,"concrete","coffee maker","relative_clause","5","English",40,"3","NA"
-2,84,2,"concrete","coffee maker","relative_clause","5","English",40,"3","NA"
-4,350,0,"concrete","laptop","relative_clause","5","English",40,"3","NA"
-2,600,1,"concrete","laptop","relative_clause","5","English",40,"3","NA"
-1,96,2,"concrete","headphones","relative_clause","5","English",40,"3","NA"
-4,925,2,"inductive","laptop","relative_clause","5","English",40,"3","NA"
-4,24,0,"concrete","coffee maker","relative_clause","5","English",40,"3","NA"
-4,140,3,"inductive","coffee maker","relative_clause","5","English",40,"3","NA"
4,2000,4,"concrete","watch","relative_clause","5","English",40,"3","NA"
4,1850,4,"concrete","laptop","relative_clause","5","English",40,"3","NA"
1,250,1,"concrete","watch","relative_clause","5","English",40,"3","NA"
-4,20,1,"inductive","coffee maker","relative_clause","5","English",40,"3","NA"
-4,200,4,"inductive","coffee maker","relative_clause","5","English",40,"3","NA"
-4,188,4,"concrete","coffee maker","relative_clause","5","English",40,"3","NA"
-4,1850,4,"inductive","laptop","relative_clause","5","English",40,"3","NA"
4,2000,4,"concrete","watch","relative_clause","6","english",28,"3",""
-1,20,1,"inductive","coffee maker","relative_clause","6","english",28,"3",""
-3,100,2,"inductive","coffee maker","relative_clause","6","english",28,"3",""
4,124,3,"concrete","coffee maker","relative_clause","6","english",28,"3",""
4,2.58,0,"inductive","headphones","relative_clause","6","english",28,"3",""
4,1.71,0,"inductive","sweater","relative_clause","6","english",28,"3",""
4,18.5,0,"inductive","laptop","relative_clause","6","english",28,"3",""
4,2,0,"inductive","coffee maker","relative_clause","6","english",28,"3",""
-4,171,4,"inductive","sweater","relative_clause","6","english",28,"3",""
1,240,1,"inductive","watch","relative_clause","6","english",28,"3",""
-3,129,2,"inductive","headphones","relative_clause","6","english",28,"3",""
1,25.8,1,"inductive","headphones","relative_clause","6","english",28,"3",""
-4,1295,3,"inductive","laptop","relative_clause","6","english",28,"3",""
2,1250,3,"concrete","laptop","relative_clause","6","english",28,"3",""
-4,18,0,"concrete","sweater","relative_clause","6","english",28,"3",""
4,234,4,"concrete","headphones","relative_clause","6","english",28,"3",""
2,450,2,"concrete","watch","relative_clause","6","english",28,"3",""
2,84,2,"concrete","coffee maker","relative_clause","6","english",28,"3",""
4,1850,4,"concrete","laptop","relative_clause","6","english",28,"3",""
-4,350,0,"concrete","laptop","relative_clause","6","english",28,"3",""
3,17.1,1,"inductive","sweater","relative_clause","6","english",28,"3",""
-3,60,1,"concrete","headphones","relative_clause","6","english",28,"3",""
-3,925,2,"inductive","laptop","relative_clause","6","english",28,"3",""
-3,600,1,"concrete","laptop","relative_clause","6","english",28,"3",""
-1,900,2,"concrete","laptop","relative_clause","6","english",28,"3",""
4,188,4,"concrete","coffee maker","relative_clause","6","english",28,"3",""
-4,100,0,"concrete","watch","relative_clause","6","english",28,"3",""
-4,119.7,3,"inductive","sweater","relative_clause","6","english",28,"3",""
-3,1680,3,"inductive","watch","relative_clause","6","english",28,"3",""
-4,200,4,"inductive","coffee maker","relative_clause","6","english",28,"3",""
-4,36,1,"concrete","sweater","relative_clause","6","english",28,"3",""
0,57,2,"concrete","sweater","relative_clause","6","english",28,"3",""
-3,180.6,3,"inductive","headphones","relative_clause","6","english",28,"3",""
0,185,1,"inductive","laptop","relative_clause","6","english",28,"3",""
3,900,3,"concrete","watch","relative_clause","6","english",28,"3",""
-4,2400,4,"inductive","watch","relative_clause","6","english",28,"3",""
-1,52,1,"concrete","coffee maker","relative_clause","6","english",28,"3",""
4,150,4,"concrete","sweater","relative_clause","6","english",28,"3",""
4,24,0,"inductive","watch","relative_clause","6","english",28,"3",""
-4,24,0,"concrete","headphones","relative_clause","6","english",28,"3",""
-2,250,1,"concrete","watch","relative_clause","6","english",28,"3",""
-3,258,4,"inductive","headphones","relative_clause","6","english",28,"3",""
2,144,3,"concrete","headphones","relative_clause","6","english",28,"3",""
-1,85.5,2,"inductive","sweater","relative_clause","6","english",28,"3",""
-4,24,0,"concrete","coffee maker","relative_clause","6","english",28,"3",""
1,96,2,"concrete","headphones","relative_clause","6","english",28,"3",""
-2,1200,2,"inductive","watch","relative_clause","6","english",28,"3",""
1,87,3,"concrete","sweater","relative_clause","6","english",28,"3",""
-3,140,3,"inductive","coffee maker","relative_clause","6","english",28,"3",""
-4,1850,4,"inductive","laptop","relative_clause","6","english",28,"3",""
-2,140,3,"inductive","coffee maker","relative_clause","7","english",34,"4",""
2,185,1,"inductive","laptop","relative_clause","7","english",34,"4",""
2,2400,4,"inductive","watch","relative_clause","7","english",34,"4",""
3,150,4,"concrete","sweater","relative_clause","7","english",34,"4",""
-2,171,4,"inductive","sweater","relative_clause","7","english",34,"4",""
-4,1850,4,"inductive","laptop","relative_clause","7","english",34,"4",""
-3,350,0,"concrete","laptop","relative_clause","7","english",34,"4",""
-3,1295,3,"inductive","laptop","relative_clause","7","english",34,"4",""
-3,36,1,"concrete","sweater","relative_clause","7","english",34,"4",""
3,1850,4,"concrete","laptop","relative_clause","7","english",34,"4",""
0,124,3,"concrete","coffee maker","relative_clause","7","english",34,"4",""
-3,144,3,"concrete","headphones","relative_clause","7","english",34,"4",""
0,2000,4,"concrete","watch","relative_clause","7","english",34,"4",""
-4,18,0,"concrete","sweater","relative_clause","7","english",34,"4",""
3,240,1,"inductive","watch","relative_clause","7","english",34,"4",""
-4,60,1,"concrete","headphones","relative_clause","7","english",34,"4",""
-3,180.6,3,"inductive","headphones","relative_clause","7","english",34,"4",""
-3,119.7,3,"inductive","sweater","relative_clause","7","english",34,"4",""
-2,100,0,"concrete","watch","relative_clause","7","english",34,"4",""
1,87,3,"concrete","sweater","relative_clause","7","english",34,"4",""
1,1200,2,"inductive","watch","relative_clause","7","english",34,"4",""
0,188,4,"concrete","coffee maker","relative_clause","7","english",34,"4",""
-1,925,2,"inductive","laptop","relative_clause","7","english",34,"4",""
2,1680,3,"inductive","watch","relative_clause","7","english",34,"4",""
-1,250,1,"concrete","watch","relative_clause","7","english",34,"4",""
4,17.1,1,"inductive","sweater","relative_clause","7","english",34,"4",""
-3,234,4,"concrete","headphones","relative_clause","7","english",34,"4",""
-3,85.5,2,"inductive","sweater","relative_clause","7","english",34,"4",""
-1,57,2,"concrete","sweater","relative_clause","7","english",34,"4",""
2,100,2,"inductive","coffee maker","relative_clause","7","english",34,"4",""
-3,96,2,"concrete","headphones","relative_clause","7","english",34,"4",""
0,200,4,"inductive","coffee maker","relative_clause","7","english",34,"4",""
0,450,2,"concrete","watch","relative_clause","7","english",34,"4",""
0,600,1,"concrete","laptop","relative_clause","7","english",34,"4",""
4,1.71,0,"inductive","sweater","relative_clause","7","english",34,"4",""
2,1250,3,"concrete","laptop","relative_clause","7","english",34,"4",""
-4,24,0,"concrete","coffee maker","relative_clause","7","english",34,"4",""
1,900,3,"concrete","watch","relative_clause","7","english",34,"4",""
4,20,1,"inductive","coffee maker","relative_clause","7","english",34,"4",""
-3,258,4,"inductive","headphones","relative_clause","7","english",34,"4",""
4,24,0,"inductive","watch","relative_clause","7","english",34,"4",""
4,2.58,0,"inductive","headphones","relative_clause","7","english",34,"4",""
-1,84,2,"concrete","coffee maker","relative_clause","7","english",34,"4",""
-3,25.8,1,"inductive","headphones","relative_clause","7","english",34,"4",""
-4,24,0,"concrete","headphones","relative_clause","7","english",34,"4",""
-3,129,2,"inductive","headphones","relative_clause","7","english",34,"4",""
-2,52,1,"concrete","coffee maker","relative_clause","7","english",34,"4",""
0,900,2,"concrete","laptop","relative_clause","7","english",34,"4",""
4,18.5,0,"inductive","laptop","relative_clause","7","english",34,"4",""
4,2,0,"inductive","coffee maker","relative_clause","7","english",34,"4",""
0,85.5,2,"inductive","sweater","relative_clause","8","English",25,"4","Interesting hit. Well designed, too."
0,2,0,"inductive","coffee maker","relative_clause","8","English",25,"4","Interesting hit. Well designed, too."
-1,140,3,"inductive","coffee maker","relative_clause","8","English",25,"4","Interesting hit. Well designed, too."
-2,17.1,1,"inductive","sweater","relative_clause","8","English",25,"4","Interesting hit. Well designed, too."
-4,24,0,"concrete","coffee maker","relative_clause","8","English",25,"4","Interesting hit. Well designed, too."
0,900,2,"concrete","laptop","relative_clause","8","English",25,"4","Interesting hit. Well designed, too."
0,52,1,"concrete","coffee maker","relative_clause","8","English",25,"4","Interesting hit. Well designed, too."
0,2400,4,"inductive","watch","relative_clause","8","English",25,"4","Interesting hit. Well designed, too."
