"item","lowers","normed_responses"
"sweater",99,0.0134566451556076
"sweater",102,0.0121362548659773
"sweater",105,0.0108558348756676
"sweater",108,0.010613387912742
"sweater",111,0.010091436302254
"sweater",114,0.0098485635160309
"sweater",117,0.00934441306894098
"sweater",120,0.0085581357559821
"sweater",123,0.00679765980394746
"sweater",126,0.00693786098620408
"sweater",129,0.00696322949112243
"sweater",132,0.0070065216834756
"sweater",135,0.00642780104088309
"sweater",138,0.0064321559380608
"sweater",141,0.00656481702666307
"sweater",144,0.0062031359060876
"sweater",147,0.00687959185242292
"sweater",150,0.00510183619524203
"sweater",153,0.00519749642756681
"sweater",156,0.00498195289503402
"sweater",159,0.00463848039694862
"sweater",162,0.00446827225938831
"sweater",165,0.00434243838506282
"sweater",168,0.00454705086043589
"sweater",171,0.0045914966088052
"sweater",174,0.00451510979961212
"sweater",177,0.00443992782954235
"sweater",180,0.00329590488378491
"sweater",183,0.00349426470729333
"sweater",186,0.00329078051712042
"sweater",189,0.00323849270094039
"sweater",192,0.00302968185434419
"sweater",195,0.00294213735024183
"sweater",198,0.00335510797297302
"sweater",201,0.00328341117067163
"sweater",204,0.00329874147186505
"sweater",207,0.00306305447627786
"sweater",210,0.00262071902879654
"sweater",213,0.00274925007756808
"sweater",216,0.00246374710845232
"sweater",219,0.00262910011008071
"sweater",222,0.00248819809733968
"sweater",225,0.00211124548886266
"sweater",228,0.00204178897873852
"sweater",231,0.00208550762922333
"sweater",234,0.00204890779502054
"sweater",237,0.00228129283166782
"watch",0,0.040844560268751
"watch",50,0.0587099798246933
"watch",100,0.0656194599591356
"watch",150,0.0667642412698035
"watch",200,0.0615953803048016
"watch",250,0.0510809063784378
"watch",300,0.0467203673419258
"watch",350,0.0446735950187136
"watch",400,0.040047421916613
"watch",450,0.0350583957334483
"watch",500,0.0297508215717606
"watch",550,0.0256829651118227
"watch",600,0.024135920250668
"watch",650,0.0228891907259206
"watch",700,0.021706684520276
"watch",750,0.0186449440066946
"watch",800,0.0187249266247728
"watch",850,0.0179250744798993
"watch",900,0.0173698811746238
"watch",950,0.0165581725818319
"watch",1000,0.0160745066032247
"watch",1050,0.0127927305129066
"watch",1100,0.0113730680265067
"watch",1150,0.0109485307623827
"watch",1200,0.00923468422650943
"watch",1250,0.00899007751887508
"watch",1300,0.00880520147998275
"watch",1350,0.00838023585866885
"watch",1400,0.00841052411004918
"watch",1450,0.00828830635037619
"watch",1500,0.00834008093757411
"watch",1550,0.00750681534099784
"watch",1600,0.00724072133740109
"watch",1650,0.00717291664158004
"watch",1700,0.00682823777708754
"watch",1750,0.00646995193940331
"watch",1800,0.00697139732982518
"watch",1850,0.00711846547272734
"watch",1900,0.00698781312802354
"watch",1950,0.00732316558583701
"watch",2000,0.00594973158122097
"watch",2050,0.00557461443747403
"watch",2100,0.00541637601910211
"watch",2150,0.00518850469148531
"watch",2200,0.00572025848989677
"watch",2250,0.0051443557601358
"watch",2300,0.00510282169734075
"watch",2350,0.00493720252580643
"watch",2400,0.00560198932991028
"watch",2450,0.00519158715054485
"watch",2500,0.00473398797752786
"watch",2550,0.00540907722833213
"watch",2600,0.00494653421540979
"watch",2650,0.00495500420164643
"watch",2700,0.00494083025189895
"watch",2750,0.00481566268206312
"watch",2800,0.00442965937328148
"watch",2850,0.00441189688100535
"watch",2900,0.00415116538135834
"watch",2950,0.00361842012002631
